WALIS LUM ID,Is this datapoint public?,Luminescence method,IGSN,Reference (s),Sample ID,Analysis ID,Reported ID,Laboratory name,Mineral type,Grain size,Date of analysis,Accepted?,Reason for rejection,Reported Latitude,Reported Longitude,Sample latitude (decimal degrees),Sample longitude (decimal degrees),Are Lat/Long estimated?,Original elevation datum used,Elevation measurement method,Reported elevation (m),Reported elevation uncertainty (m),Elevation above MSL (m),Elevation uncertainty used (m),Comments on elevation,Age is Older/Equal/Younger than,Marine Isotopic Stage,Comments/details on MIS designation or age,Age (ka),Age uncertainty (ka),Aliquot size,Equivalent Dose measurement protocol,Treatment during measurement,Statistical model for burial dose,Machine type,Detection unit,Stimulation unit,Optical Filters used for Detection,Number of aliquots/ single grains run,Number of aliquots/ single grains used in sample,Uncertainty level,Equivalent dose (Gy),Equivalent dose uncertainty (Gy),Overdispersion value (%),Overdispersion value uncertainty (%),Depth of burial (m),Approach of dose rate dermination,Uncertainty levels,Uranium content (ppm),Uranium content uncertainty (ppm),Thorium content (ppm),Thorium content uncertainty (ppm),Potassium content (%),Potassium content uncertainty (%),Rubidium content (ppm),Rubidium content uncertainty (ppm),Alpha dose rate (Gy/ka),Alpha dose rate uncertainty (Gy/ka),Gamma dose rate (Gy/ka),Gamma dose rate uncertainty (Gy/ka),Beta dose rate (Gy/ka),Beta dose rate uncertainty (Gy/ka),Cosmic dose rate (Gy/ka),Cosmic dose rate uncertainty (Gy/ka),Field water content (% of dry mass),Water content determination method,Water Content used in Final Age Calculation (% of dry mass),Water Content used in Final Age Calculation  uncertainty (% of dry mass),Alpha attenuation factor,Dose Rate conversion factors,Total dose rate (Gy/Ka),Total dose rate uncertainty (Gy/ka),Was fading correction applied?,Method of fading correction,g-value (% per decade),g-value (±1σ) (% per decade),Comments,Record created by,Record updated by,Last Update
155,1,OSL,,"Burdette et al., 2012
 Simms, 2021",BU12-008,BU12-008-001,JHR-03,"School of Geography, McMaster University",Quartz,Coarse grains (sand),,Yes,,,,29.712138,-85.303657,Yes,North American Vertical Datum of 1988 (NAVD88,LiDAR,-0.14,0.25,N/A,N/A,Locations based on hand-held GPS.  Then used a lidar survey to determine the elevation at that point.,Equal to,MIS 5e,Age was determined by taking the midpoint of the age range reported in the original publication.,112.60,8.80,,single-aliquot regenerative (SAR) dose,preheat,Central Age Model,"RISØ OSL/TL‐DA‐15 reader (RISO DTU – National Laboratory for Sustainable Energy, Roskilde, Denmark) ",,blue light LED stimulation (470 nm),7 mm thick Hoya U‐340 filter (270 to 400 nm),N/A,N/A,undefined,33.9,1.4,19.00000,,0.66,,,0.26,,0.43,,0.01,,,,,,0.0429,0.0096,0.0381,0.0104,0.1993,0.0199,20.83,,7.000,,,,0.291,0.014,,,,,,Alexander Simms,Alexander Simms,2020-04-06 18:43:56
157,1,OSL,,"Burdette et al., 2012
 Simms, 2021",BU12-009,BU12-009-001,CPR-01,"School of Geography, McMaster University",Quartz,Coarse grains (sand),,Yes,,,,29.704484,-85.298304,Yes,North American Vertical Datum of 1988 (NAVD88,LiDAR,1.87,0.25,N/A,N/A,Locations based on hand-held GPS.  Then used a lidar survey to determine the elevation at that point.,Equal to,MIS 5e,Age was determined by taking the midpoint of the age range reported in the original publication.,113.80,9.80,,single-aliquot regenerative (SAR) dose,preheat,Central Age Model,"RISØ OSL/TL‐DA‐15 reader (RISO DTU – National Laboratory for Sustainable Energy, Roskilde, Denmark) ",,blue light LED stimulation (470 nm),7 mm thick Hoya U‐340 filter (270 to 400 nm),N/A,N/A,undefined,34.0,2.0,33.00000,,0.18,,,0.14,,0.23,,0.00,,,,,,0.0238,0.0099,0.0211,0.0108,0.2395,0.0239,16.11,,7.000,,,,0.288,0.015,,,,,,Alexander Simms,Alexander Simms,2020-04-06 18:57:46
158,1,OSL,,"Burdette et al., 2012
 Simms, 2021",BU12-010,BU12-010-001,CPR-02,"School of Geography, McMaster University",Quartz,Coarse grains (sand),,Yes,,,,29.704484,-85.298304,Yes,North American Vertical Datum of 1988 (NAVD88,LiDAR,1.28,0.25,N/A,N/A,Locations based on hand-held GPS.  Then used a lidar survey to determine the elevation at that point.,Equal to,MIS 5e,Age was determined by taking the midpoint of the age range reported in the original publication.,138.70,11.10,,single-aliquot regenerative (SAR) dose,preheat,Central Age Model,"RISØ OSL/TL‐DA‐15 reader (RISO DTU – National Laboratory for Sustainable Energy, Roskilde, Denmark) ",,blue light LED stimulation (470 nm),7 mm thick Hoya U‐340 filter (270 to 400 nm),N/A,N/A,undefined,41.7,1.8,20.00000,,0.77,,,0.24,,0.66,,0.00,,,,,,0.0501,0.0086,0.0398,0.0104,0.1888,0.0178,20.51,,7.000,,,,0.301,0.014,,,,,,Alexander Simms,Alexander Simms,2020-04-06 19:03:45
159,1,OSL,,"Burdette et al., 2012
 Simms, 2021",BU12-011,BU12-011-001,CPR-03,"School of Geography, McMaster University",Quartz,Coarse grains (sand),,Yes,,,,29.704484,-85.298304,Yes,North American Vertical Datum of 1988 (NAVD88,LiDAR,0.81,0.25,N/A,N/A,Locations based on hand-held GPS.  Then used a lidar survey to determine the elevation at that point.,Equal to,MIS 5e,Age was determined by taking the midpoint of the age range reported in the original publication.,138.20,12.60,,single-aliquot regenerative (SAR) dose,preheat,Central Age Model,"RISØ OSL/TL‐DA‐15 reader (RISO DTU – National Laboratory for Sustainable Energy, Roskilde, Denmark) ",,blue light LED stimulation (470 nm),7 mm thick Hoya U‐340 filter (270 to 400 nm),N/A,N/A,undefined,33.9,1.5,22.00000,,1.24,,,0.19,,0.20,,0.00,,,,,,0.0272,0.0099,0.0262,0.0112,0.1771,0.0178,16.52,,7.000,,,,0.235,0.015,,,,,,Alexander Simms,Alexander Simms,2020-04-06 19:17:11
160,1,OSL,,"Burdette et al., 2012
 Simms, 2021",BU12-012,BU12-012-001,CCI-02,"School of Geography, McMaster University",Quartz,Coarse grains (sand),,Yes,,,,29.724372,-85.311518,Yes,North American Vertical Datum of 1988 (NAVD88,LiDAR,-1.16,0.25,N/A,N/A,Locations based on hand-held GPS.  Then used a lidar survey to determine the elevation at that point.,Equal to,MIS 5e,Age was determined by taking the midpoint of the age range reported in the original publication.,111.90,7.90,,single-aliquot regenerative (SAR) dose,preheat,Central Age Model,"RISØ OSL/TL‐DA‐15 reader (RISO DTU – National Laboratory for Sustainable Energy, Roskilde, Denmark) ",,blue light LED stimulation (470 nm),7 mm thick Hoya U‐340 filter (270 to 400 nm),N/A,N/A,undefined,38.2,1.5,19.00000,,0.16,,,0.28,,0.27,,0.01,,,,,,0.0431,0.0106,0.0431,0.0117,0.2437,0.0244,7.63,,7.630,,,,0.331,0.016,,,,,,Alexander Simms,Alexander Simms,2020-04-06 19:22:17
161,1,OSL,,"Burdette et al., 2012
 Simms, 2021",BU12-013,BU12-013-001,CCI-03,"School of Geography, McMaster University",Quartz,Coarse grains (sand),,Yes,,,,29.724372,-85.311518,Yes,North American Vertical Datum of 1988 (NAVD88,LiDAR,-1.65,0.25,N/A,N/A,Locations based on hand-held GPS.  Then used a lidar survey to determine the elevation at that point.,Equal to,MIS 5e,Age was determined by taking the midpoint of the age range reported in the original publication.,126.30,10.50,,single-aliquot regenerative (SAR) dose,preheat,Central Age Model,"RISØ OSL/TL‐DA‐15 reader (RISO DTU – National Laboratory for Sustainable Energy, Roskilde, Denmark) ",,blue light LED stimulation (470 nm),7 mm thick Hoya U‐340 filter (270 to 400 nm),N/A,N/A,undefined,34.7,1.5,22.00000,,0.65,,,0.18,,0.38,,0.01,,,,,,0.0374,0.0106,0.0334,0.0117,0.1927,0.0193,8.43,,8.430,,,,0.264,0.016,,,,,,Alexander Simms,Alexander Simms,2020-04-06 19:26:16
162,1,OSL,,"Burdette et al., 2012
 Simms, 2021",BU12-014,BU12-014-001,CCI-05,"School of Geography, McMaster University",Quartz,Coarse grains (sand),,Yes,,,,29.724372,-85.311518,Yes,North American Vertical Datum of 1988 (NAVD88,LiDAR,-2.54,0.25,N/A,N/A,Locations based on hand-held GPS.  Then used a lidar survey to determine the elevation at that point.,Equal to,MIS 5e,Age was determined by taking the midpoint of the age range reported in the original publication.,120.10,9.60,,single-aliquot regenerative (SAR) dose,preheat,Central Age Model,"RISØ OSL/TL‐DA‐15 reader (RISO DTU – National Laboratory for Sustainable Energy, Roskilde, Denmark) ",,blue light LED stimulation (470 nm),7 mm thick Hoya U‐340 filter (270 to 400 nm),N/A,N/A,undefined,29.5,0.6,8.60000,,1.54,,,0.16,,0.37,,0.01,,,,,,0.0337,0.0101,0.0312,0.0111,0.1701,0.0170,14.5,,7.000,,,,0.235,0.015,,,,,,Alexander Simms,Alexander Simms,2020-04-06 22:55:13
163,1,OSL,,"Burdette et al., 2012
 Simms, 2021",BU12-015,BU12-015-001,BPG01-01,"School of Geography, McMaster University",Quartz,Coarse grains (sand),,Yes,,,,29.713166,-85.293231,Yes,North American Vertical Datum of 1988 (NAVD88,LiDAR,-0.25,0.25,N/A,N/A,Locations based on hand-held GPS.  Then used a lidar survey to determine the elevation at that point.,Equal to,MIS 5e,Age was determined by taking the midpoint of the age range reported in the original publication.,136.20,11.60,,single-aliquot regenerative (SAR) dose,preheat,Central Age Model,"RISØ OSL/TL‐DA‐15 reader (RISO DTU – National Laboratory for Sustainable Energy, Roskilde, Denmark) ",,blue light LED stimulation (470 nm),7 mm thick Hoya U‐340 filter (270 to 400 nm),N/A,N/A,undefined,32.6,1.3,19.00000,,1.99,,,0.18,,0.40,,0.00,,,,,,0.0319,0.0091,0.0254,0.0100,0.1602,0.0160,26.0,,7.000,,,,0.227,0.014,,,,,,Alexander Simms,Alexander Simms,2020-04-06 23:00:41
164,1,OSL,,"Burdette et al., 2012
 Simms, 2021",BU12-016,BU12-016-001,BPG01-02,"School of Geography, McMaster University",Quartz,Coarse grains (sand),,Yes,,,,29.713166,-85.293231,Yes,North American Vertical Datum of 1988 (NAVD88,LiDAR,-2.67,0.25,N/A,N/A,Locations based on hand-held GPS.  Then used a lidar survey to determine the elevation at that point.,Equal to,MIS 5e,Age was determined by taking the midpoint of the age range reported in the original publication.,125.30,11.00,,single-aliquot regenerative (SAR) dose,preheat,Central Age Model,"RISØ OSL/TL‐DA‐15 reader (RISO DTU – National Laboratory for Sustainable Energy, Roskilde, Denmark) ",,blue light LED stimulation (470 nm),7 mm thick Hoya U‐340 filter (270 to 400 nm),N/A,N/A,undefined,33.3,1.0,14.00000,,4.41,,,0.39,,0.50,,0.02,,,,,,0.0604,0.0102,0.0608,0.0104,0.1178,0.0118,22.1,,7.000,,,,0.266,0.015,,,,,,Alexander Simms,Alexander Simms,2020-04-06 23:05:10
165,1,OSL,,"Burdette et al., 2012
 Simms, 2021",BU12-017,BU12-017-001,OR-01,"School of Geography, McMaster University",Quartz,Coarse grains (sand),,Yes,,,,29.697729,-85.297137,Yes,North American Vertical Datum of 1988 (NAVD88,LiDAR,0.91,0.25,N/A,N/A,Locations based on hand-held GPS.  Then used a lidar survey to determine the elevation at that point.,Equal to,MIS 5e,Age was determined by taking the midpoint of the age range reported in the original publication.,136.60,10.40,,single-aliquot regenerative (SAR) dose,preheat,Central Age Model,"RISØ OSL/TL‐DA‐15 reader (RISO DTU – National Laboratory for Sustainable Energy, Roskilde, Denmark) ",,blue light LED stimulation (470 nm),7 mm thick Hoya U‐340 filter (270 to 400 nm),N/A,N/A,undefined,47.7,1.9,24.00000,,1.13,,,0.37,,1.11,,0.00,,,,,,0.0898,0.0113,0.0689,0.0119,0.1797,0.0180,16.0,,7.000,,,,0.349,0.016,,,,,,Alexander Simms,Alexander Simms,2020-04-06 23:09:44
100,1,OSL,,"Carr et al., 2010
 Cooper and Green, 2020",CA10-001,CA10-001-001,UoW-234,,,,,Yes,,,,-34.032500,22.797700,Yes,Mean Sea Level / General definition,Total station or Auto/hand level,6.5,N/A,6.5,N/A,,Equal to,MIS 5,,127.00,5.70,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,WALIS Admin,2020-12-16 11:11:20
101,1,OSL,,"Carr et al., 2010
 Cooper and Green, 2020",CA10-002,CA10-002-001,SHFD07072,,,,,Yes,,,,-34.032500,22.797700,Yes,Mean Sea Level / General definition,Total station or Auto/hand level,4.5,N/A,4.5,N/A,,Equal to,MIS 5,,130.00,8.20,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,WALIS Admin,2020-12-16 11:11:39
102,1,OSL,,"Carr et al., 2010
 Cooper and Green, 2020",CA10-003,CA10-003-001,UOW-232,,,,,Yes,,,,-34.056110,22.240555,Yes,N/A,"dGPS, hand level and tape",9,N/A,N/A,N/A,,Equal to,MIS 5,,125.00,6.70,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,WALIS Admin,2020-12-16 11:11:54
103,1,OSL,,"Carr et al., 2010
 Cooper and Green, 2020",CA10-004,CA10-004-001,SHFD05019,,,,,Yes,,,,-34.817220,20.027500,Yes,N/A,"dGPS, hand level and tape",5.6,N/A,N/A,N/A,,Equal to,MIS 5,,118.00,7.20,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,WALIS Admin,2020-12-16 11:12:48
104,1,OSL,,"Carr et al., 2010
 Cooper and Green, 2020",CA10-005,CA10-005-001,SHFD04288,,,,,Yes,,,,-34.032500,22.797800,Yes,Mean Sea Level / General definition,Total station or Auto/hand level,0.5,0.1,N/A,N/A,,Equal to,MIS 5,lowermost part of tidal inlet unit,138.00,7.30,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,WALIS Admin,2020-12-16 11:13:01
105,1,OSL,,"Carr et al., 2010
 Cooper and Green, 2020",CA10-006,CA10-006-001,SHFD05038,,,,,Yes,,,,-34.032500,22.797700,Yes,Mean Sea Level / General definition,"dGPS, hand level and tape",11.7,0.1,11.7,N/A,,Equal to,MIS 5,,112.00,5.10,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,WALIS Admin,2020-12-16 11:13:17
106,1,OSL,,"Carr et al., 2010
 Cooper and Green, 2020",CA10-007,CA10-007-001,UOW-235,,,,,Yes,,,,-34.032500,22.797800,Yes,Mean Sea Level / General definition,Total station or Auto/hand level,6.5,N/A,N/A,N/A,,Equal to,MIS 5,,113.00,5.60,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,WALIS Admin,2020-12-16 11:13:31
107,1,OSL,,"Carr et al., 2010
 Cooper and Green, 2020",CA10-008,CA10-008-001,UOW-233,,,,,Yes,,,,-34.056111,22.240550,Yes,N/A,"dGPS, hand level and tape",10.5,0.1,N/A,N/A,,Equal to,MIS 5,,122.00,6.90,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,WALIS Admin,2020-12-16 11:13:49
122,1,OSL,,"Cawthra 2014
 Cooper and Green, 2020",CA14-001,CA14-001-001,HC26,Wollongong,,,,Yes,,,,-34.090833,22.247500,,N/A,"dGPS, hand level and tape",-33,N/A,N/A,N/A,,Equal to,N/A,,13.80,1.40,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,Andrew Cooper,2020-12-16 10:04:39
124,1,OSL,,"Cawthra 2014
 Cooper and Green, 2020",CA14-002,CA14-002-001,HC36,Wollongong,,,,Yes,,,,-34.081666,22.257500,Yes,N/A,"dGPS, hand level and tape",-30,N/A,N/A,N/A,,Equal to,N/A,,125.00,12.00,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,Andrew Cooper,2020-12-16 10:45:13
125,1,OSL,,"Cawthra 2014
 Cooper and Green, 2020",CA14-003,CA14-003-001,HCSH,Wollongong,,,,Yes,,,,-34.064722,22.208888,,N/A,"dGPS, hand level and tape",0,N/A,N/A,N/A,,Equal to,N/A,,122.00,15.00,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,Andrew Cooper,2020-12-16 10:45:39
121,1,OSL,,"Cawthra 2014
 Cooper and Green, 2020",CA14-004,CA14-004-001,HC30,Wollongong,,,,Yes,,,,-34.088055,22.261110,Yes,N/A,"dGPS, hand level and tape",-34,N/A,N/A,N/A,,Equal to,N/A,,142.00,12.00,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,Andrew Cooper,2020-12-16 11:14:45
123,1,OSL,,"Cawthra 2014
 Cooper and Green, 2020",CA14-005,CA14-005-001,HC35,Wollongong,,,,Yes,,,,-34.083833,22.253611,Yes,N/A,"dGPS, hand level and tape",-30,N/A,N/A,N/A,,Equal to,N/A,,134.00,13.00,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,Andrew Cooper,2020-12-16 11:15:27
126,1,OSL,,"Cawthra 2014
 Cooper and Green, 2020",CA14-006,CA14-006-001,HC29,Wollongong,,,,Yes,,,,-34.089444,22.238880,Yes,N/A,"dGPS, hand level and tape",-35,N/A,N/A,N/A,,Equal to,N/A,,122.00,10.00,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,Andrew Cooper,2020-12-16 11:15:44
127,1,OSL,,"Cawthra 2014
 Cooper and Green, 2020",CA14-007,CA14-007-001,HC40,Wollongong,,,,Yes,,,,-34.073055,22.262220,Yes,N/A,"dGPS, hand level and tape",-26,N/A,N/A,N/A,,Equal to,N/A,,117.00,11.00,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,Andrew Cooper,2020-12-16 11:16:19
128,1,OSL,,"Cawthra 2014
 Cooper and Green, 2020",CA14-008,CA14-008-001,HC32,Wollongong,,,,Yes,,,,-34.068888,22.257770,,N/A,"dGPS, hand level and tape",-17,N/A,N/A,N/A,,Equal to,N/A,,115.00,9.00,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,Andrew Cooper,2020-12-16 11:16:31
129,1,OSL,,"Cawthra 2014
 Cooper and Green, 2020",CA14-009,CA14-009-001,HC39,Wollongong,,,,Yes,,,,-34.078055,22.253611,Yes,N/A,"dGPS, hand level and tape",-25,N/A,N/A,N/A,,Equal to,N/A,,103.00,8.00,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,Andrew Cooper,2020-12-16 11:16:46
130,1,OSL,,"Cawthra 2014
 Cooper and Green, 2020",CA14-010,CA14-010-001,HC24,Wollongong,,,,Yes,,,,-34.102500,22.256388,Yes,N/A,"dGPS, hand level and tape",-38,N/A,N/A,N/A,,Equal to,N/A,,87.00,9.00,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,Andrew Cooper,2020-12-16 11:16:57
131,1,OSL,,"Cawthra et al., 2018
 Cooper and Green, 2020",CA18-001,CA18-001-001,142832,Wollongong,,,,Yes,,,,-34.056111,22.240558,Yes,N/A,"dGPS, hand level and tape",11.1,0.05,N/A,N/A,,Equal to,N/A,,119.70,8.90,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,WALIS Admin,2020-12-16 11:17:31
132,1,OSL,,"Cawthra et al., 2018
 Cooper and Green, 2020",CA18-002,CA18-002-001,157206,,,,,Yes,,,,-34.055833,22.246388,Yes,N/A,"dGPS, hand level and tape",23.5,0.05,N/A,N/A,,Equal to,N/A,,118.00,8.40,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,WALIS Admin,2020-12-16 11:17:46
133,1,OSL,,"Cawthra et al., 2018
 Cooper and Green, 2020",CA18-003,CA18-003-001,142831,Wollongong,,,,Yes,,,,-34.056111,22.240558,Yes,N/A,"dGPS, hand level and tape",9,0.05,N/A,N/A,,Equal to,N/A,,124.30,8.60,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,WALIS Admin,2020-12-16 11:17:59
134,1,OSL,,"Cawthra et al., 2018
 Cooper and Green, 2020",CA18-004,CA18-004-001,142830,Wollongong,,,,Yes,,,,-34.056111,22.240558,Yes,N/A,"dGPS, hand level and tape",9,0.05,N/A,N/A,,Equal to,N/A,,116.30,9.20,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,WALIS Admin,2020-12-16 11:18:10
135,1,OSL,,"Cawthra et al., 2018
 Cooper and Green, 2020",CA18-006,CA18-006-001,142829,Wollongong,,,,Yes,,,,-34.055833,22.246388,Yes,N/A,"dGPS, hand level and tape",6,0.05,N/A,N/A,,Equal to,N/A,,111.20,7.50,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,WALIS Admin,2020-12-16 11:18:57
136,1,OSL,,"Cawthra et al., 2018
 Cooper and Green, 2020",CA18-007,CA18-007-001,142833,Wollongong,,,,Yes,,,,-34.056388,22.239722,Yes,N/A,"dGPS, hand level and tape",3.5,0.05,N/A,N/A,,Equal to,N/A,,116.10,7.30,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,Andrew Cooper,2020-12-16 11:19:08
137,1,OSL,,"Cawthra et al., 2018
 Cooper and Green, 2020",CA18-008,CA18-008-001,157205,Wollongong,,,,Yes,,,,-34.055833,22.246388,Yes,N/A,"dGPS, hand level and tape",20.2,0.05,N/A,N/A,,Equal to,MIS 5,,123.40,6.90,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,Andrew Cooper,2020-12-16 11:19:20
138,1,OSL,,"Cawthra et al., 2018
 Cooper and Green, 2020",CA18-009,CA18-009-001,157204,Wollongong,,,,Yes,,,,-34.055833,22.246388,Yes,N/A,"dGPS, hand level and tape",13.3,0.05,N/A,N/A,,Equal to,MIS 5,,135.40,7.90,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,Andrew Cooper,2020-12-16 11:19:31
139,1,OSL,,"Cawthra et al., 2018
 Cooper and Green, 2020",CA18-010,CA18-010-001,157203,Wollongong,,,,Yes,,,,-34.055833,22.246388,Yes,N/A,"dGPS, hand level and tape",10.4,0.05,N/A,N/A,,Equal to,MIS 5,,128.40,9.20,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,Andrew Cooper,2020-12-16 11:19:42
140,1,OSL,,"Cawthra et al., 2018
 Cooper and Green, 2020",CA18-011,CA18-011-001,157202,Wollongong,,,,Yes,,,,-34.055833,22.246388,Yes,N/A,"dGPS, hand level and tape",9.5,0.05,N/A,N/A,,Equal to,MIS 5,,128.10,8.40,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,Andrew Cooper,2020-12-16 11:20:07
120,1,OSL,,"Casini et al., 2020_TerraNova
 Cerrone et al., 2021",CA20,CA20-001,CVL3,,Feldspar,,,Yes,,,,40.636000,8.184000,Yes,Mean Sea Level / General definition,"dGPS, hand level and tape",3.5,0.2,N/A,N/A,,,N/A,,136.00,8.00,,,,,,,,,N/A,N/A,undefined,221.0,7.0,,,2,,2-sigma,,,,,,,,,,,,,,,,,,,,,,,1.270,0.100,,,,,,Matteo Vacchi,Matteo Vacchi,2020-04-06 05:53:14
238,1,OSL,,"Choi et al., 2003
 Thompson and Creveling, 2021",CH03-001,CH03-001-001,WKR-8A,Korea Basic Science Institute,,,,Yes,,,,35.357680,129.360470,,Mean Sea Level / General definition,"dGPS, hand level and tape",N/A,N/A,,,Elevation is not reported.,,N/A,,67.00,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jessica Creveling and Schmitty Thompson,Jessica Creveling and Schmitty Thompson,2020-12-03 05:39:49
239,1,OSL,,"Choi et al., 2003
 Thompson and Creveling, 2021",CH03-001,CH03-001-002,WKR-8B,Korea Basic Science Institute,,,,Yes,,,,35.3576801,129.3604709,Yes ,Mean Sea Level / General definition,"dGPS, hand level and tape",N/A,N/A,,,Elevation is not reported.,,N/A,MIS 5a,62,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jessica Creveling and Schmitty Thompson,,2020-11-19 10:53:17
458,1,OSL,,"Choi et al., 2003
 Choi, 2004",CH03-001,CH03-001-01,WKR-5A,Korea Basic Science Institute,Quartz,Coarse grains (sand),,Yes,,"35° 22' 55.4"" N","129° 20' 28.9"" E",35.382056,129.341361,No,National Geodetic Datum (Korea),Topographic map and digital elevation models,14.0,0.5,14.0,0.5,"Locations based on hand-held GPS.  Then used 1:5000 topographic map by the Korean government to determine the elevation at that point from the local vertical datum.

",Equal to,MIS5e/5c,"Age was determined by considering the age range reported in the original publication.







",112.00,7.00,,single-aliquot regenerative (SAR) dose,Preheat,Central Age Model,"RISØ TL/OSL‐DA‐15 (RISØ National Laboratory, Denmark) ",PM Tube,blue light LED stimulation (470 nm),7.5 mm thick Hoya U‐340 filter,N/A,N/A,undefined,222,10,,,,,,31.6,4.8,35.1,0.8,353,18,,,,,0.95,0.03,1.4,0.07,,,20.3,,20.300,,,,1.99,0.08,,,,,Central Age Model,Alexander Simms,Alexander Simms,2021-06-17 15:32:13
240,1,OSL,,"Choi et al., 2003
 Thompson and Creveling, 2021",CH03-002,CH03-002-001,WKR-9A,Korea Basic Science Institute,,,,Yes,,,,35.3248174,129.2943033,Yes ,Mean Sea Level / General definition,"dGPS, hand level and tape",N/A,N/A,,,Elevation is not reported.,,N/A,MIS 5a,55,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jessica Creveling and Schmitty Thompson,,2020-11-19 10:53:17
241,1,OSL,,"Choi et al., 2003
 Thompson and Creveling, 2021",CH03-002,CH03-002-002,WKR-9B,Korea Basic Science Institute,,,,Yes,,,,35.3248174,129.2943033,Yes ,Mean Sea Level / General definition,"dGPS, hand level and tape",N/A,N/A,,,Elevation is not reported.,,N/A,MIS 5a,57,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jessica Creveling and Schmitty Thompson,,2020-11-19 10:53:17
