WALIS RSL ID,Is this datapoint public?,Site,Subsite,Nation,Region,Main reference,Additional references,Latitude (decimal degrees),Longitude (decimal degrees),Horizontal Positioning Technique,Is this a marine/terrestrial limiting record?,Type of RSL Indicator,Indicator description,Upper limit of modern analog (m),Lower limit of modern analog (m),Quantification of indicative meaning,Sea level datum,Elevation measurement technique,Do you want to insert upper and lower elevation limits?,Upper elevation of indicator (m),Lower elevation of indicator (m),Upper/Lower elevation measurement error (1-sigma) (m),RSL indicator elevation (m),RSL indicator elevation error (m),Notes on elevation and indicative range,Reference Water Level (m),Indicative Range (m),Paleo Relative Sea Level (m),Paleo Relative Sea Level Uncertainty (m),Is data on vertical land movements (independent from the sea level record) available?,Tectonic category,Comments on tectonic category,Published VLM rate (m/ky),Published VLM rate uncertainty (m/ky),Interpreted VLM rate (m/ky),Interpreted VLM rate (m/ky) uncertainty,Comments on VLM rates,Age attribution,U-Series constraint,U-series age IDs,AAR constraint,Amino Acid Racemization age IDs,ESR constraint,Electro Spin Resonance age IDs,Luminescence constraint,Luminescence age IDs,Stratigraphic constraint,Stratigraphic context/age IDs,Other age constraint,Other age constraints IDs,Quality of RSL data,Quality of age information,Quality notes,Record created by,Record updated by,Last Update
75,1,Bromley,Well M35/1926,New Zealand (Aotearoa),Canterbury,"Brown et al, 1988","Suggate, 1958
 Suggate, 1965
 Ryan et al., 2020",-43.5344,172.6893,Government well/core database,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,"This well core is one of two for the Bromley Formation type section.

Bromely Formation. Stratigraphic unit identified in well core. Lithology: sand, clay, shelly clay, peat, silt, and interbedded gravel. Some brown gravel and brown and yellow clay layers. Depositional environment interpreted as beach, lagoonal, dune, and coastal swamp sediments associated with rising and high sea level. ",,,N/A,Mean Sea Level / General definition,Metered tape or rod,Yes,-50.7,-69.6,5.0,-60.15,10.69,"Elevation accuracy < 5 m as reported by Canterbury Council well search, www.ecan.govt.nz/data/well-search. ",,,,,No,,,,,,,,"Chronostratigraphy
 Other dating",,,,,,,,,Equal to,Bromley Formation,Equal to,Infinite Radiocarbon,1,0,,Deirdre Ryan,Deirdre Ryan,2019-11-21 07:01:06
76,1,Riccarton,Well M35/1943,New Zealand (Aotearoa),Canterbury,"Brown et al, 1988","Suggate, 1958
 Suggate, 1965
 Ryan et al., 2020",-43.5324,172.6068,Government well/core database,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,"Bromely Formation. Stratigraphic unit identified in well core. Lithology: sand, clay, shelly clay, peat, silt, and interbedded gravel. Some brown gravel and brown and yellow clay layers. Depositional environment interpreted as beach, lagoonal, dune, and coastal swamp sediments associated with rising and high sea level. 
This core is type section for the Christchurch Formation and Riccarton Gravel.",,,N/A,Mean Sea Level / General definition,Metered tape or rod,Yes,-32.2,-41.0,0.5,-36.6,4.42,"Elevation accuracy < 0.5 m as reported by Canterbury Council well search, www.ecan.govt.nz/data/well-search. ",,,,,No,,,,,,,,"Chronostratigraphy
 Other dating",,,,,,,,,Equal to,Bromley Formation,Equal to,Infinite Radiocarbon,1,0,,Deirdre Ryan,,2019-11-21 07:00:41
77,1,Linwood,Well M35/1989,New Zealand (Aotearoa),Canterbury,"Brown et al, 1988","Suggate, 1958
 Suggate, 1965
 Ryan et al., 2020",-43.5353,172.6609,Government well/core database,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,"Bromely Formation. Stratigraphic unit. Lithology: sand, clay, shelly clay, peat, silt, and interbedded gravel. Some brown gravel and brown and yellow clay layers. Depositional environment interpreted as beach, lagoonal, dune, and coastal swamp sediments associated with rising and high sea level. 
This well is type section for Linwood Gravel. ",,,N/A,Mean Sea Level / General definition,Metered tape or rod,Yes,-35.0,-55.4,2.5,-45.2,10.5,"Elevation accuracy < 2.5 m as reported by Canterbury Council well search, www.ecan.govt.nz/data/well-search. ",,,,,No,,,,,,,,"Chronostratigraphy
 Other dating",,,,,,,,,Equal to,Bromley Formation,Equal to,Infinite Radiocarbon,1,0,,Deirdre Ryan,,2019-11-21 07:06:07
78,1,Yaldhurst,Well M35/3637,New Zealand (Aotearoa),Canterbury,"Brown et al, 1988","Suggate, 1958
 Suggate, 1965
 Ryan et al., 2020",-43.5123,172.5014,Government well/core database,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,"Bromely Formation. Stratigraphic unit identified in well core. Lithology: sand, clay, shelly clay, peat, silt, and interbedded gravel. Some brown gravel and brown and yellow clay layers. Depositional environment interpreted as beach, lagoonal, dune, and coastal swamp sediments associated with rising and high sea level. ",,,N/A,Mean Sea Level / General definition,Metered tape or rod,Yes,-7.0,-9.0,2.0,-8.0,2.23,"Elevation accuracy < 2.0 m as reported by Canterbury Council well search, www.ecan.govt.nz/data/well-search. ",,,,,No,,,,,,,,"Chronostratigraphy
 Other dating",,,,,,,,,Equal to,Bromley Formation,Equal to,Infinite Radiocarbon,1,0,,Deirdre Ryan,,2019-11-21 07:08:20
79,1,Prebbleton,Well M36/0870,New Zealand (Aotearoa),Canterbury,"Brown et al, 1988","Suggate, 1958
 Suggate, 1965
 Ryan et al., 2020",-43.5857,172.517,Government well/core database,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,"Bromely Formation. Stratigraphic unit identified in well core. Lithology: sand, clay, shelly clay, peat, silt, and interbedded gravel. Some brown gravel and brown and yellow clay layers. Depositional environment interpreted as beach, lagoonal, dune, and coastal swamp sediments associated with rising and high sea level. ",,,N/A,Mean Sea Level / General definition,Metered tape or rod,Yes,-20.0,-23.0,5.0,-21.5,5.22,"Elevation accuracy < 5.0 m as reported by Canterbury Council well search, www.ecan.govt.nz/data/well-search. ",,,,,No,,,,,,,,"Chronostratigraphy
 Other dating",,,,,,,,,Equal to,Bromley Formation,Equal to,Infinite Radiocarbon,1,0,,Deirdre Ryan,,2019-11-21 07:11:10
80,1,Beckenham,Well M36/0975,New Zealand (Aotearoa),Canterbury,"Brown et al, 1988","Suggate, 1958
 Suggate, 1965
 Ryan et al., 2020",-43.5631,172.6384,Government well/core database,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,"Bromely Formation. Stratigraphic unit identified in well core. Lithology: sand, clay, shelly clay, peat, silt, and interbedded gravel. Some brown gravel and brown and yellow clay layers. Depositional environment interpreted as beach, lagoonal, dune, and coastal swamp sediments associated with rising and high sea level. ",,,N/A,Mean Sea Level / General definition,Metered tape or rod,Yes,-27.0,-46.0,2.5,-36.5,9.82,"Elevation accuracy < 2.5 m as reported by Canterbury Council well search, www.ecan.govt.nz/data/well-search. ",,,,,No,,,,,,,,"Chronostratigraphy
 Other dating",,,,,,,,,Equal to,Bromley Formation,Equal to,Infinite Radiocarbon,1,0,,Deirdre Ryan,Deirdre Ryan,2019-12-03 10:34:37
81,1,Spreydon,Well M36/0981,New Zealand (Aotearoa),Canterbury,"Brown et al, 1988","Suggate, 1958
 Suggate, 1965
 Ryan et al., 2020",-43.5541,172.5929,Government well/core database,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,"Bromely Formation. Stratigraphic unit identified in well core. Lithology: sand, clay, shelly clay, peat, silt, and interbedded gravel. Some brown gravel and brown and yellow clay layers. Depositional environment interpreted as beach, lagoonal, dune, and coastal swamp sediments associated with rising and high sea level. ",,,N/A,Mean Sea Level / General definition,Metered tape or rod,Yes,-28.0,-38.0,0.5,-33.0,5.02,"Elevation accuracy < 0.5 m as reported by Canterbury Council well search, www.ecan.govt.nz/data/well-search. ",,,,,No,,,,,,,,"Chronostratigraphy
 Other dating",,,,,,,,,Equal to,Bromley Formation,Equal to,Infinite Radiocarbon,1,0,,Deirdre Ryan,,2019-11-21 07:15:44
82,1,Sydenham,Well M36/1047,New Zealand (Aotearoa),Canterbury,"Brown et al, 1988","Suggate, 1958
 Suggate, 1965
 Ryan et al., 2020",-43.5494,172.6343,Government well/core database,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,"Bromely Formation. Stratigraphic unit identified in well core. Lithology: sand, clay, shelly clay, peat, silt, and interbedded gravel. Some brown gravel and brown and yellow clay layers. Depositional environment interpreted as beach, lagoonal, dune, and coastal swamp sediments associated with rising and high sea level. ",,,N/A,Mean Sea Level / General definition,Metered tape or rod,Yes,-35.0,-50.0,2.5,-42.5,7.9,"Elevation accuracy < 2.5 m as reported by Canterbury Council well search, www.ecan.govt.nz/data/well-search. ",,,,,No,,,,,,,,"Chronostratigraphy
 Other dating",,,,,,,,,Equal to,Bromley Formation,Equal to,Infinite Radiocarbon,1,0,,Deirdre Ryan,Deirdre Ryan,2019-11-21 07:21:49
83,1,Ferrymead,Well M36/1107,New Zealand (Aotearoa),Canterbury,"Brown et al, 1988","Suggate, 1958
 Suggate, 1965
 Ryan et al., 2020",-43.5597,172.7053,Government well/core database,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,"Bromely Formation. Stratigraphic unit identified in well core. Lithology: sand, clay, shelly clay, peat, silt, and interbedded gravel. Some brown gravel and brown and yellow clay layers. Depositional environment interpreted as beach, lagoonal, dune, and coastal swamp sediments associated with rising and high sea level. ",,,N/A,Mean Sea Level / General definition,Metered tape or rod,Yes,-34.0,-53.0,2.5,-43.5,9.82,"Elevation accuracy < 2.5 m as reported by Canterbury Council well search, www.ecan.govt.nz/data/well-search. ",,,,,No,,,,,,,,"Chronostratigraphy
 Other dating",,,,,,,,,Equal to,Bromley Formation,Equal to,Infinite Radiocarbon,1,0,,Deirdre Ryan,,2019-11-21 07:20:53
84,1,Riverside,Water Well,New Zealand (Aotearoa),Canterbury,"Brown et al, 1988","Suggate, 1958
 Suggate, 1965
 Ryan et al., 2020",-44.0126,171.8576,National Map Grid Coordinates,Marine Limiting,The datapoint is a marine or terrestrial limiting indicator,"Bromely Formation. Stratigraphic unit identified in well core. Lithology: sand, clay, shelly clay, peat, silt, and interbedded gravel. Some brown gravel and brown and yellow clay layers. Depositional environment interpreted as beach, lagoonal, dune, and coastal swamp sediments associated with rising and high sea level. ",,,N/A,Mean Sea Level / General definition,Not reported,Yes,-25.0,-31.0,2.5,-28.0,3.9,Unknown accuracy. Measurement error of 2.5 m was selected as this is the error most commonly reported by the local council for well cores. ,,,,,No,,,,,,,,"Chronostratigraphy
 Other dating",,,,,,,,,Equal to,Bromley Formation,Equal to,Infinite Radiocarbon,1,0,,Deirdre Ryan,,2019-11-21 07:27:27
85,1,Timaru,Well core,New Zealand (Aotearoa),Canterbury,"Brown et al, 1988","Suggate, 1958
 Suggate, 1965
 Ryan et al., 2020",-44.3877,171.2555,National Map Grid Coordinates,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,"Bromely Formation. Stratigraphic unit identified in well core. Lithology: sand, clay, shelly clay, peat, silt, and interbedded gravel. Some brown gravel and brown and yellow clay layers. Depositional environment interpreted as beach, lagoonal, dune, and coastal swamp sediments associated with rising and high sea level. ",,,N/A,Mean Sea Level / General definition,Not reported,Yes,-15.0,-21.0,2.5,-18.0,3.9,Unknown accuracy. Measurement error of 2.5 m was selected as this is the error most commonly reported by the local council for well cores. ,,,,,No,,,,,,,,"Chronostratigraphy
 Other dating",,,,,,,,,Equal to,Bromley Formation,Equal to,Infinite Radiocarbon,1,0,,Deirdre Ryan,Deirdre Ryan,2019-11-21 07:36:29
90,1,Main Terrace,"Clarence River to Woodbank Stream, Location 5",New Zealand (Aotearoa),Canterbury,"Ota et al., 1996","Suggate, 1965
 Ryan et al., 2020",-42.075266,173.940526,Google Earth from publication map,Sea Level Indicator,Beach deposit or beachrock,"Approximately 4 m thick beach deposit (109 - 105 m asl) of fine beach gravels/coarse boulders/fine beach gravels over an abrasion platform. Above this the terrace is covered by slope-wash deposits. 

As the prinicipal marine terrace above the Holocene terrace, the terrace is considered to represent the major sea-level rise of the last interglacial.",1.69,-2.11,IMCalc,Mean Sea Level / General definition,Photogrammetric methods or aneroid altimeter,Yes,109.0,105.0,2.0,107.0,2.82,Heights were measured by digital altimeter and corrected to sea level or trig station about every 2 hours. The accuracy of measurement is considered to be within +/- 2 m. ,-0.21,3.8,107.21,3.4,,,,,,,,,Other dating,,,,,,,,,,,Equal to,MIS 5 Terrace Correlation,3,1,"Description is good and measurement is adequate if not highly accurate. 
Age is determined from the terrace location landward of the Holocene terrace. Terrestrial mollusc fauna collected from terrace deposits indicate an interglacial climate. ",Deirdre Ryan,Deirdre Ryan,2020-04-28 04:53:21
91,1,Main Terrace,"Clarence River to Woodbank Stream, Location 7",New Zealand (Aotearoa),Canterbury,"Ota et al., 1996","Suggate, 1965
 Ryan et al., 2020",-42.078059,173.937491,Google Earth from publication map,Sea Level Indicator,Lagoonal deposit,"Coarse beach boulders overlying an abraded estuarine silt (105 m asl). The silt includes fossil wood and shells, is intercalated with slope-wash deposits, and rests on Tertiary siltstone at c. 90 m asl. The estuarine deposits are considered a transgressive sequence. The maximum elevation of this estuarine unit is used as the RSL indicator here. 

As the prinicipal marine terrace above the Holocene terrace, the terrace is considered to represent the major sea-level rise of the last interglacial.",1.69,-2.11,IMCalc,Mean Sea Level / General definition,Photogrammetric methods or aneroid altimeter,No,,,,105.0,2.0,Heights were measured by digital altimeter and corrected to sea level or trig station about every 2 hours. The accuracy of measurement is considered to be within +/- 2 m. ,-0.21,3.8,105.21,2.75,,,,,,,,,Other dating,,,,,,,,,,,Equal to,MIS 5 Terrace Correlation,3,1,"Description is good and measurement is adequate if not highly accurate. 
Age is determined from the terrace location landward of the Holocene terrace. Terrestrial mollusc fauna collected from terrace deposits indicate an interglacial climate. ",Deirdre Ryan,Deirdre Ryan,2020-04-28 04:53:43
92,1,Main Terrace,"Clarence River to Woodbank Stream, Location 8",New Zealand (Aotearoa),Canterbury,"Ota et al., 1996","Suggate, 1965
 Ryan et al., 2020",-42.088172,173.931567,Google Earth from publication map,Sea Level Indicator,Beach deposit or beachrock,"~2 m rounded beach boulders overlay an abrasion platform at 111 m. Basal boulders are bored. Boulder deposit overlain by 22 m slope wash. Original paper includes diagram of section stratigraphy. Height of abrasion platform indicates downtilting towards the north.

As the prinicipal marine terrace above the Holocene terrace, the terrace is considered to represent the major sea-level rise of the last interglacial.",1.69,-2.11,IMCalc,Mean Sea Level / General definition,Photogrammetric methods or aneroid altimeter,Yes,113.0,111.0,2.0,112.0,2.23,Heights were measured by digital altimeter and corrected to sea level or trig station about every 2 hours. The accuracy of measurement is considered to be within +/- 2 m. ,-0.21,3.8,112.21,2.93,No,,,,,,,,Other dating,,,,,,,,,,,Equal to,MIS 5 Terrace Correlation,3,1,"Description is good and measurement is adequate if not highly accurate. 
Age is determined from the terrace location landward of the Holocene terrace. Terrestrial mollusc fauna collected from terrace deposits indicate an interglacial climate. ",Deirdre Ryan,Deirdre Ryan,2020-04-28 04:54:12
93,1,Main Terrace,"Clarence River to Woodbank Stream, Location 9",New Zealand (Aotearoa),Canterbury,"Ota et al., 1996","Suggate, 1965
 Ryan et al., 2020",-42.095904,173.925819,Google Earth from publication map,Sea Level Indicator,Beach deposit or beachrock,"Located close to the type locality of Parikawa Formation (Suggate, 1964). Represents a typical sequence of terrace deposits and cover beds. About 2 m of beach gravel, with bored boulders up to 0.6 m in diameter rests on the abrasion platform and is overlain by 6 m of stratified beach pebbles ~2 cm in diameter containing shell fragments. ~35 m of slope-wash deposits, intercalated with some stratified pebble horizons, overlie these beach deposits. Original paper includes diagram of section stratigraphy. Height of abrasion platform indicates downtilting towards the north.

As the prinicipal marine terrace above the Holocene terrace, the terrace is considered to represent the major sea-level rise of the last interglacial.",1.69,-2.11,IMCalc,Mean Sea Level / General definition,Photogrammetric methods or aneroid altimeter,Yes,120.0,114.0,2.0,117.0,3.6,Heights were measured by digital altimeter and corrected to sea level or trig station about every 2 hours. The accuracy of measurement is considered to be within +/- 2 m. ,-0.21,3.8,117.21,4.07,No,,,,,,,,Other dating,,,,,,,,,,,Equal to,MIS 5 Terrace Correlation,3,1,"Description is good and measurement is adequate if not highly accurate. 
Age is determined from the terrace location landward of the Holocene terrace. Terrestrial mollusc fauna collected from terrace deposits indicate an interglacial climate. ",Deirdre Ryan,Deirdre Ryan,2020-04-28 04:55:18
94,1,Main Terrace,"Clarence River to Woodbank Stream, Location 10 ",New Zealand (Aotearoa),Canterbury,"Ota et al., 1996","Suggate, 1965
 Ryan et al., 2020",-42.109373,173.918428,Google Earth from publication map,Sea Level Indicator,Beach deposit or beachrock,"~5 m of well-sorted and rounded beach gravel unconformably overlies abrasion platform truncating Miocene siltstone. Beach deposits include boulders bored by shells abutting a bedrock cliff just inland, indicating the exact location of the former shoreline angle. Height of abrasion platform indicates downtilting towards the north.

As the prinicipal marine terrace above the Holocene terrace, the terrace is considered to represent the major sea-level rise of the last interglacial.",1.69,-2.11,IMCalc,Mean Sea Level / General definition,Photogrammetric methods or aneroid altimeter,Yes,145.0,143.0,2.0,144.0,2.23,Heights were measured by digital altimeter and corrected to sea level or trig station about every 2 hours. The accuracy of measurement is considered to be within +/- 2 m. ,-0.21,3.8,144.21,2.93,No,,,,,,,,Other dating,,,,,,,,,,,Equal to,MIS 5 Terrace Correlation,3,1,"Description is good and measurement is adequate if not highly accurate. 
Age is determined from the terrace location landward of the Holocene terrace. Terrestrial mollusc fauna collected from terrace deposits indicate an interglacial climate. ",Deirdre Ryan,Deirdre Ryan,2020-04-28 04:55:53
95,1,Kaikoura Peninsula,"Terrace III, Location 13",New Zealand (Aotearoa),Canterbury,"Ota et al., 1996","Ryan et al., 2020",-42.411194,173.677663,Google Earth from publication map,Sea Level Indicator,Beach deposit or beachrock,Sandy clay with some rounded gravel (2 cm diameter) ~1 m thick overlying unconformity in Tertiary siltsone and overlain by loess and paleosol.,1.7,-2.11,IMCalc,Mean Sea Level / General definition,Photogrammetric methods or aneroid altimeter,Yes,40.5,39.5,2.0,40.0,2.06,Heights were measured by digital altimeter and corrected to sea level or trig station about every 2 hours. The accuracy of measurement is considered to be within +/- 2 m. ,-0.2,3.81,40.2,2.8,No,,,,,,,,"Amino Acid Racemization
 Other dating",,,Equal to,OT96-001-001,,,,,,,Equal to,MIS 5 Terrace Correlation,2,2,"Indicator is weak. 
Age constrained by AAR result from higher terrace, Terrace 1 Location 17, assigned to MIS 5c partially on basis of molluscan faunal assemblage, and correlation to eustatic sea-level curve derived from Huon Peninsula (Chappell and Shackleton 1986).",Deirdre Ryan,Deirdre Ryan,2020-02-03 08:44:48
96,1,Kaikoura Peninsula,"Terrace III, Location 14",New Zealand (Aotearoa),Canterbury,"Ota et al., 1996","Ryan et al., 2020",-42.415698,173.68557,Google Earth from publication map,Sea Level Indicator,Beach deposit or beachrock,Find sand with rare rounded gravel (<1 cm diameter) ~1 thick overlying Tertiary siltsone and overlain by light grey silt then loess and paleosol. Terrace is downtilted to the northwest. ,1.7,-2.11,IMCalc,Mean Sea Level / General definition,Photogrammetric methods or aneroid altimeter,Yes,51.5,50.5,2.0,51.0,2.06,Heights were measured by digital altimeter and corrected to sea level or trig station about every 2 hours. The accuracy of measurement is considered to be within +/- 2 m. ,-0.2,3.81,51.2,2.8,No,,,,,,,,"Amino Acid Racemization
 Other dating",,,Equal to,OT96-001-001,,,,,,,Equal to,MIS 5 Terrace Correlation,2,2,"Indicator is weak. 
Age constrained by AAR result from higher terrace, Terrace 1 Location 17, assigned to MIS 5c partially on basis of molluscan faunal assemblage, and correlation to eustatic sea-level curve derived from Huon Peninsula (Chappell and Shackleton 1986).",Deirdre Ryan,Deirdre Ryan,2020-02-03 08:45:33
97,1,Kaikoura Peninsula,"Terrace II, Location 15",New Zealand (Aotearoa),Canterbury,"Ota et al., 1996","Ryan et al., 2020",-42.416899,173.68762,Google Earth from publication map,Sea Level Indicator,Beach deposit or beachrock,Weathered sandy clay with some well rounded pebbles up to 4 cm in diameter (interpreted as beach gravel) underlies 2.5 m loess and overlies the weathered surface of Tertiary limestone. Terrace is downtilted to the northwest. Original paper includes diagram of section stratigraphy.,1.7,-2.11,IMCalc,Mean Sea Level / General definition,Photogrammetric methods or aneroid altimeter,Yes,61.5,61.0,2.0,61.25,2.01,Heights were measured by digital altimeter and corrected to sea level or trig station about every 2 hours. The accuracy of measurement is considered to be within +/- 2 m. ,-0.2,3.81,61.45,2.77,No,,,,,,,,"Amino Acid Racemization
 Other dating",,,Equal to,OT96-001-001,,,,,,,Equal to,MIS 5 Terrace Correlation,2,2,"Indicator is weak. 
Age constrained by AAR result from higher terrace, Terrace 1 Location 17, assigned to MIS 5c partially on basis of molluscan faunal assemblage, and correlation to eustatic sea-level curve derived from Huon Peninsula (Chappell and Shackleton 1986).",Deirdre Ryan,Deirdre Ryan,2020-02-03 08:46:42
98,1,Kaikoura Peninsula,"Terrace II, Location 16",New Zealand (Aotearoa),Canterbury,"Ota et al., 1996","Ryan et al., 2020",-42.419431,173.688667,Google Earth from publication map,Sea Level Indicator,Beach deposit or beachrock,Loess/soils overlying <1 m thick grey sandy clay with rounded pebbles (interpreted as beach gravel) at 72 m asl resting on unconformity on Tertiary siltsone.Terrace is downtilted to the northwest. Original paper includes diagram of section stratigraphy.,1.7,-2.11,IMCalc,Mean Sea Level / General definition,Photogrammetric methods or aneroid altimeter,Yes,72.0,71.0,2.0,71.5,2.06,Heights were measured by digital altimeter and corrected to sea level or trig station about every 2 hours. The accuracy of measurement is considered to be within +/- 2 m. ,-0.2,3.81,71.7,2.8,No,,,,,,,,"Amino Acid Racemization
 Other dating",,,Equal to,OT96-001-001,,,,,,,Equal to,MIS 5 Terrace Correlation,2,2,"Indicator is weak. 
Age constrained by AAR result from higher terrace, Terrace 1 Location 17, assigned to MIS 5c partially on basis of molluscan faunal assemblage, and correlation to eustatic sea-level curve derived from Huon Peninsula (Chappell and Shackleton 1986).",Deirdre Ryan,Deirdre Ryan,2020-02-03 08:47:16
99,1,Kaikoura Peninsula,"Terrace II, Location 18",New Zealand (Aotearoa),Canterbury,"Ota et al., 1996","Ryan et al., 2020",-42.419067,173.69647,Google Earth from publication map,Sea Level Indicator,Beach deposit or beachrock,"2.5 m of loess with multiple phases of soil development overlies ~1 m of rounded quartz gravel, with pebbles 1-3 cm in diameter, interpreted as beach gravel overlying unconformity in Tertiary siltstone. Terrace is downtilted to the northwest. Original paper includes diagram of section stratigraphy.",1.7,-2.11,IMCalc,Mean Sea Level / General definition,Photogrammetric methods or aneroid altimeter,Yes,73.5,72.5,2.0,73.0,2.06,Heights were measured by digital altimeter and corrected to sea level or trig station about every 2 hours. The accuracy of measurement is considered to be within +/- 2 m. ,-0.2,3.81,73.2,2.8,No,,,,,,,,"Amino Acid Racemization
 Other dating",,,Equal to,OT96-001-001,,,,,,,Equal to,MIS 5 Terrace Correlation,2,2,"Indicator is weak. 
Age constrained by AAR result from higher terrace, Terrace 1 Location 17, assigned to MIS 5c partially on basis of molluscan faunal assemblage, and correlation to eustatic sea-level curve derived from Huon Peninsula (Chappell and Shackleton 1986).",Deirdre Ryan,Deirdre Ryan,2020-02-03 08:48:02
100,1,Kaikoura Peninsula,"Terrace I, Location 17",New Zealand (Aotearoa),Canterbury,"Ota et al., 1996","Ryan et al., 2020",-42.419116,173.692695,Google Earth from publication map,Sea Level Indicator,Beach deposit or beachrock,"Terrace 1 elevation between 95-108 m asl underlain by limestone. Auger hole penetrated 5 m mottled, weathered loess overlying thin layer of limestone clasts then 0.5 m weathered fine-medium sand and >2 m of pebbly shelly sand. Contact between f-m sand and pebbly shelly sand at 89.5 m asl. Terrace is downtilted to the northwest. Original paper includes diagram of section stratigraphy.",1.7,-2.11,IMCalc,Mean Sea Level / General definition,Photogrammetric methods or aneroid altimeter,No,,,,89.5,2.0,Heights were measured by digital altimeter and corrected to sea level or trig station about every 2 hours. The accuracy of measurement is considered to be within +/- 2 m. ,-0.2,3.81,89.7,2.76,No,,,,,,,,"Amino Acid Racemization
 Other dating",,,Equal to,OT96-001-001,,,,,,,Equal to,MIS 5 Terrace Correlation,4,3,"Age constrained by AAR result from approximately 6 m depth of burial. Result could be correlated to either MIS 5e or MIS 5c; however authors argue for latter age based on the marine faunal assemblage, which indicates cooler water temperatures than expected for MIS 5e. Terrace is also correlatied to eustatic sea-level curve derived from Huon Peninsula (Chappell and Shackleton 1986).",Deirdre Ryan,Deirdre Ryan,2020-02-03 08:49:12
101,1,Kaikoura Peninsula,"Terrace III, Location 20",New Zealand (Aotearoa),Canterbury,"Ota et al., 1996","Ryan et al., 2020",-42.423349,173.698661,Google Earth from publication map,Marine Limiting,The datapoint is a marine or terrestrial limiting indicator,"Auger penetrated 2.2 m of weathered loess, separated by palaesol. At the basal contact between loess and bedrock, rare rounded polished pebbles, interpreted as of marine origin were present. Terrace is downtilted to the northwest. Original paper includes diagram of section stratigraphy.",,,N/A,Mean Sea Level / General definition,Photogrammetric methods or aneroid altimeter,No,,,,58.75,2.0,Heights were measured by digital altimeter and corrected to sea level or trig station about every 2 hours. The accuracy of measurement is considered to be within +/- 2 m. ,,,,,No,,,,,,,,"Amino Acid Racemization
 Other dating",,,Equal to,OT96-001-001,,,,,,,Equal to,MIS 5 Terrace Correlation,2,2,"Indicator is weak. 
Age constrained by AAR result from higher terrace, Terrace 1 Location 17, assigned to MIS 5c partially on basis of molluscan faunal assemblage, and correlation to eustatic sea-level curve derived from Huon Peninsula (Chappell and Shackleton 1986).",Deirdre Ryan,Deirdre Ryan,2020-05-11 15:16:42
102,1,Haumuri Bluff,"Tarapuhi Terrace, Location D",New Zealand (Aotearoa),Canterbury,"Ota et al., 1996","Fleming and Suggate, 1964
 Ota et al., 1984
 Ryan et al., 2020",-42.559263,173.509117,Google Earth from publication map,Marine Limiting,The datapoint is a marine or terrestrial limiting indicator,"The terrace surface is moderately dissected and gently rolling, with, in places, a steep riser along its northern margin down to a lower marine terrace. Beneath the terrace surface there are fossiliferous marine deposits (2.5 m thick) previously described by McKay (1877, 1886) and Fleming & Suggate (1964). The marine deposits are capped by ~3.5 m thick loess and rest unconformably on basement rocks. A complete fauna list is provided in Table 1 and exhibits a high diversity of microfauna (<5 mm long). The assemblage is mixed seeming to result from contributions from a variety of shallow-water environments. Surprisingly the fauna indicates a cold temperature regime and is similar to that living in shallow water at present, no farther north than Foveaux Strait. ",,,N/A,Mean Sea Level / General definition,Photogrammetric methods or aneroid altimeter,Yes,164.0,162.0,2.0,163.0,2.23,Heights were measured by digital altimeter and corrected to sea level or trig station about every 2 hours. The accuracy of measurement is considered to be within +/- 2 m. ,,,,,No,,,,,,,,"Amino Acid Racemization
 Other dating",,,Equal to,OT96-002-001,,,,,,,Equal to,MIS 5 Terrace Correlation,3,3,"Indicator has been better described previoulsy and reference is made to the earlier publications. Elevation accuracy is adequate but not precise. 
Age constrained by AAR age of shell retrieved from marine unit. Result could be correlated to either MIS 5e or MIS 5c; however authors argue for latter age based on the marine faunal assemblage, which indicates cooler water temperatures than expected for MIS 5e. Terrace is also correlatied to eustatic sea-level curve derived from Huon Peninsula (Chappell and Shackleton 1986).",Deirdre Ryan,Deirdre Ryan,2020-05-11 15:17:25
