WALIS Strat ID,Is this datapoint public?,Chronostratigraphy ID,Reference(s),Description for chronostratigraphic constraint,Unit thickness (m),Age is Older/Equal/Younger than,Marine Isotopic Stage,Comments/details on MIS designation,Upper Age (ka),Lower Age (ka),Notes on age determination,Is this an official stratigraphic designation?,Has duration estimated in years?,Duration (yrs),Duration uncertainty (yrs),Is a subzone of a parent Chronostratigraphy entry?,Parent record (WALIS Strat ID),Record created by,Record updated by,Last Update
103,1,Haebaru Formation,"Koba et al., 1979
 Tam and Yokoyama, 2021","Coral surface on Takara island, dated by C14",,Equal to,MIS 1,,3.0,2.0,,Yes,,,,,,Evan Tam,,2020-10-10 11:45:49
105,1,Hateruma Th/U age,"Ota and Omura, 1992
 Tam and Yokoyama, 2021",U/Th dating on Coral correlated to MIS 5e on Hateruma Island,,Equal to,MIS 5,,135.0,121.0,128 +- 7 Ka,No,No,121,135,,,Evan Tam,Evan Tam,2020-10-11 11:21:20
64,1,Hauriri Marine Terrace,"Dickson et al., 1974
 Fleming, 1953
 Pillans 2017
 Pillans and Kohn 1981
 Pillans, 1983
 Ryan et al., 2020","This terrace is within the Quaternary marine terrace sequence of the Whanganui Basin. The terrace consists of a basal wave-cut platform overlain by shallow marine sediments, grading upwards into non-marine sediments, which include dunesand, loess, lignite, tephra, laharic, and fluvial deposits. ",,Equal to,MIS 5a,5a,0.0,0.0,"Constraint to the terrace sequence was made possible by fission-track ages for the Rangitawa Tephra (~400 ka) found within the coverbeds of middle Pleistocene terraces, the youngest being the Ararata Terrace. AAR analysis and calibration of fossil wood samples indicated minimum ages of 190 and 110 ka for the Ngarino and Rapanui Terraces, respectively. The Rapanui strandline is correlated MIS 5e (~120 ka). The age of other terraces was determined by their physical relationship to these terraces. 

The Inaha Terrace is dated to ~100 ka.",,,,,,45,Deirdre Ryan,Deirdre Ryan,2020-06-19 21:45:28
90,1,"Hazrot Yasaf, Galilee coast","Sivan et al., 1999
 Sivan et al., 2016
 Sivan and Galili, 2020","Two of the Yasaf M. subunits found in the type section in Rosh Hanikra to the north have been found in Hazrot Yasaf: the Strombus (SB) bearing unit overlying by the biological sandstone.  The SB unit is poorly sorted, coarse gravel unit composed of subrounded-rounded cobbles and few bolders, fine silt quartz and bioclasts including the diagnostic Strombus bubonius LMK (Persististrombus latus or Lentigo latus).",,Equal to,MIS 5e,,,,,Yes,,,,,,Dorit Sivan and Ehud Galili,,2020-10-05 08:20:04
98,1,Hk-Tp,"Machida, 1987
 Tam and Yokoyama, 2021",Hakone-Tokyo Pumice layer,,Equal to,MIS 3,,0.0,0.0,49-0 ka,,No,,,,,Evan Tam,,2020-10-08 01:46:17
49,1,IJzer Valley (Belgium) Middle Pleistocene,"Bogemans et al., 2016
 Hijma et al., 2012",Interglacial high stand tidal depositional levels from cycles before the Last Interglacial - based on with biostratigraphic and geological-mapping architectural evidence.,10,Equal to,MIS 7,MIS 7; in places possibly MIS 9,240.0,195.0,"195 ka: end of highstand MIS7a;  
240 ka: begin high stand of MIS 7e.",No,No,,,No,,Kim Cohen,Kim Cohen,2020-08-03 16:04:22
41,1,Inaha Marine Terrace,"Dickson et al., 1974
 Fleming, 1953
 Pillans 2017
 Pillans and Kohn 1981
 Pillans, 1983
 Ryan et al., 2020","This terrace is within the Quaternary marine terrace sequence of the Whanganui Basin. The terrace consists of a basal wave-cut platform overlain by shallow marine sediments, grading upwards into non-marine sediments, which include dunesand, loess, lignite, tephra, laharic, and fluvial deposits. ",,Equal to,MIS 5c,5c,0.0,0.0,"Constraint to the terrace sequence was made possible by fission-track ages for the Rangitawa Tephra (~400 ka) found within the coverbeds of middle Pleistocene terraces, the youngest being the Ararata Terrace. AAR analysis and calibration of fossil wood samples indicated minimum ages of 190 and 110 ka for the Ngarino and Rapanui Terraces, respectively. The Rapanui strandline is correlated MIS 5e (~120 ka). The age of other terraces was determined by their physical relationship to these terraces. 

The Inaha Terrace is dated to ~100 ka.",,,,,,45,Deirdre Ryan,Deirdre Ryan,2020-06-19 21:45:55
104,1,Isensaki Coral,"Machida et al., 1976
 Tam and Yokoyama, 2021","Lower Coral terrace at Tokunoshima Island, dated by C14",,Equal to,MIS 1,,0.0,0.0,,No,No,,,No,,Evan Tam,,2020-10-11 02:40:54
57,1,Isipingo Formation on Durban Bluff,"Porat and Botha, 2008
 Cooper and Green, 2020","Isipingo Formation aeolianite dated on Durban Bluff at 182+/- 18 (U-Th Ramsay and Cooper, 2002) and 203+/- 13 (Porat and Botha, 2008)",,Equal to,MIS 7,,,,,Yes,,,,,,Andrew Cooper,Andrew Cooper,2020-04-08 07:28:43
100,1,KIP-7,"Suzuki, 1992
 Tam and Yokoyama, 2021","Hakone Volcano Pumice fall deposit (Central Honshu), dates from fission track",,Equal to,MIS 5,,0.0,0.0,130-0 ka,Yes,,,,,,Evan Tam,,2020-10-08 06:03:29
102,1,KT,"Hayatsu et al., 1982
 Tam and Yokoyama, 2021","Kamitaru pumice layer sourced from the Iizuna volcano. Stratigraphically correlated tephra level, ",,Equal to,MIS 6,,150.0,130.0,,,,,,,,Evan Tam,,2020-10-10 11:24:08
63,1,Karimbolien Limestone,"Battistini et al., 1976b
 Battistini, 1965
 Battistini, 1966
 Boyden et al., 2021","Reef terrace with massive corals in growth position disconformably overlain by thick-reddish aeolianite that have undergone rubification.
 
The Karimbolien is the name given to the MIS 5 transgression by Battistini. Here, Battistini and co-authors use the facies description made in northern Madagascar to constrain other formations on Madagascar as well as along the coast of East Africa. ",There is no explicit definition of thickness by Battistini,Equal to,"MIS 5e, MIS 5d","The massive corals in growth position have been dated with U/Th by alpha-counting (Battistini et. al., 1976) near Antisiranana (formally Diego Suarez).
",160.0,130.0,"Upper uncertainty: ± 30 ka (2 sigma)
Lower uncertainty: ± 40 ka (2 sigma) ",No,No,,,No,,Patrick Boyden,Patrick Boyden,2020-06-11 08:40:49
74,1,Kattegat Stadial (Seidenkranz 93 zones C-D) ,"Houmark-Nielsen, 1987
 Kristensen et al., 2000
 Larsen et al., 2009
 Seidenkranz, 1993","See the entry West Baltic Sea Cyprina clay for a full regional paleogeographical description.

The Kattegat Stadial as recognised and defined in marine deposits in NE Denmark (Seidenkranz, 1993: her Zones C, D1 and D2), marks a latest Saalian stage of marine deposition in the vicinity of meltwater outflow from Scandinavian sources. 

The Kattegat Stadial immediately precedes units showing considerable deepening of the water depth and isotopic compositional changes signaled in foraminiferal assemblages (Seidenkranz, 1993: her Zone E; see also: Larsen et al.,2009), that is the deep-water registration of terminated signals of meltwater fluxes, transgression (deepening of waters), climatic amelioration (warmer waters), altered marine connections, and marine biogeographic connection to southerly North Sea and English Channel waters (first Lusitanian species). For this reason, Seidenkranz' Zones E-F-G are correlated to the Eemian interglacial substages, while Zones A-B-C-D are regarded terminal stages of the Saalian glacial. Larsen et al. 2009 further review the marine deposits for mainland sites in North Denmark (Vendsyssel) where the marine sequence is much thicker (>70 m). Over there it stretches Latest Saalian ( Nuculana pernula N. minuta Zone ), Eemian ( Lower Turritella terebra Zone ), Early Weichselian ( Upper Turritella terebra Zone ) and Middle Weichselian intervals ( Abra nitida Zone, intercalated till units; Portlandia arctica Zone). The Nuculana pernula N. minuta Zone coincides/includes the Kattegat Stadial .

In this sequence Zone C-D represent a stadial / local meltwater pulse (Zone C the true pulse, zone D1/D2 the recovery). Zone B is a brief interstadial (Flakket interstadial), Zone A is a prior local meltwater pulse/stadial, representing retreat of Scandinavian ice front from the Kattegat deep waters (head of a fjord like structure in mesozoic and paleogene substratum, border zone to the Precambric substrate of mainland of Norway and Sweden; Houmark-Nielsen 1987; Seidenkranz, 1993; Larsen et al. 2009).

The isotopic signals from Zone A upto Zone E correlate broadly with the structure of Termination II (while Zone E to G would be the MIS5e plateau), although the vicinity of Scandinavian meltwater sources (melting ice sheets over Sweden; spillage of lake waters gathered in the deglaciating Baltic Sea basin) complicates direct correlation: Zone C-D could also be a local meltwater pulse timing late in Termination II. Seidenkranz (1993) correlates Zone B with the midpoint of the Termination (attributed an age of c. 131 ka; following Martinson et al. 1987; or alternatively: an age of ca. 132.5 based correlation to U/Th dated italian speleothem d18O, when following Tzedakis et al. 2018). Alternatively, the very base of the sequence could be tied to that moment. ",0.5,Equal to,MIS 5e,"see main description. The marine unit lies sandwiched between glaciogenic units: it directly overlies a regionally extensive Saalian till unit (penultimate glacial); it is buried by considerable thickness of Weichselian outwash sands (last glacial), which overrode the unit.",131.0,126.0,"The Kattegat stadial has an estimated duration of 1200 years (based on relative abundance of forams; calibrated to density and foram abundances in Zones A and B below). Transitional zone D2 may coincide with Zone E1 in the Southern North Sea. Zone E coincides with E2b based on finding of Kristensen et al. 2000 in the West Baltic Sea (very onset Cyprina clay) and the initiated (deep water) boreo-lusitanian biota immigration into the West Baltic Sea. The Zone D2/Zone E transgression in the Kattegat on water depth and geographic grounds likely was just before the onset of registration in the West Baltic Sea, i.e. contemporary with Zone E2a in the terrestrial record of the Southern North Sea, Netherlands, and N Germany.",Yes,Yes,1200,200,Yes,70,Kim Cohen,Kim Cohen,2022-04-21 13:51:31
106,1,Kikai Island U/Th Date,"Inagaki and Omura, 2006
 Tam and Yokoyama, 2021",Dates provided for Kikai Island by U/Th dating,,Equal to,MIS 5,,126.0,118.0,122.1 +- 3.8,No,No,,38,,,Evan Tam,,2020-10-11 11:21:05
107,1,Kita Daito U/Th Ages,"Ota and Omura, 1992
 Ota et al., 1991
 Tam and Yokoyama, 2021",U/Th dates obtained for Kita Daito,,Equal to,MIS 5,,124.0,121.0,123 +-1,No,No,,,,,Evan Tam,Evan Tam,2020-11-24 07:07:35
127,1,Kwambu Section 5a Terrace,"Chappell and Shackleton, 1986
 Thompson and Creveling, 2021","These terrace ages are determined through use of an orbitally tuned timescale, and are assigned in a table in the reporting paper.",,Equal to ,MIS 5a,5a,86.0,78.0,,No ,No ,,,,,Jessica Creveling and Schmitty Thompson,,2020-11-19 10:49:57
128,1,Kwambu Section 5c Terrace,"Chappell and Shackleton, 1986
 Thompson and Creveling, 2021","These terrace ages are determined through use of an orbitally tuned timescale, and are assigned in a table in the reporting paper.",,Equal to ,MIS 5c,5c,98.0,90.0,,No ,No ,,,,,Jessica Creveling and Schmitty Thompson,,2020-11-19 10:49:57
118,1,MIS 5a Bahía Inglesa Terrace ,"Marquardt et al., 2004
 Thompson and Creveling, 2021","Higher terraces are dated at MIS 11 based upon warm water faunal association, thus the lower terraces are correlated to later MIS highstands, down to the MIS 5a highstand of this terrace. Radiometric dates from terraces in a seperate region (Morro Copiapo) date the lower terraces to MIS 5, and those terraces are correlated to the lowest Bahía Inglesa terraces.",,Equal to,MIS 5a,5a,86.0,78.0,,No,No,,,,,Jessica Creveling and Schmitty Thompson,,2020-11-19 10:49:57
120,1,MIS 5a Bruhel Point Terrace,"Merritts and Bull 1989
 Thompson and Creveling, 2021","Terrace correlation was based upon graphs of infered uplift (local terrace altitude minus New Guinea formation altitiude) vs inferred age. Probable age assignments were evaluated on the basis of 1) point configuration on uplift-rate diagrams, 2) known terrace ages and soil development profiles, 3) correlation of adjacent terrace based upon altitudinal position.",,Equal to ,MIS 5a,MIS designation was based upon the correlation of this terrace to a corresponding terrace in New Guinea dated to 81 ka.,86.0,78.0,,No ,No ,,,,,Jessica Creveling and Schmitty Thompson,,2020-11-19 10:49:57
119,1,MIS 5c Bahía Inglesa Terrace ,"Marquardt et al., 2004
 Thompson and Creveling, 2021","Higher terraces are dated at MIS 11 based upon warm water faunal association, thus the lower terraces are correlated to later MIS highstands, down to the MIS 5c highstand of this terrace. Radiometric dates from terraces in a seperate region (Morro Copiapo) date the lower terraces to MIS 5, and those terraces are correlated to the lowest Bahía Inglesa terraces.",,Equal to,MIS 5c,5c,98.0,90.0,,No,No,,,,,Jessica Creveling and Schmitty Thompson,,2020-11-19 10:49:57
121,1,MIS 5c Bruhel Point Terrace,"Merritts and Bull 1989
 Thompson and Creveling, 2021","Terrace correlation was based upon graphs of infered uplift (local terrace altitude minus New Guinea formation altitiude) vs inferred age. Probable age assignments were evaluated on the basis of 1) point configuration on uplift-rate diagrams, 2) known terrace ages and soil development profiles, 3) correlation of adjacent terrace based upon altitudinal position.",,Equal to ,MIS 5c,MIS designation was based upon the correlation of this terrace to a corresponding terrace in New Guinea.,98.0,90.0,,No ,No ,,,,,Jessica Creveling and Schmitty Thompson,,2020-11-19 10:49:57
139,1,MIS 5e Bahamas (Jackson 2017),Jackson PhD Thesis,Combination of stratigraphic correlation and whole role A/I ratios. ,,Equal to,MIS 5e,Combination of stratigraphic correlation and whole role A/I ratios. ,0.0,0.0,,No,,,,,,Alexandra Villa,,2021-07-23 19:17:42
67,1,MIS 5e in the Gibraltar Strait Area,"Zazo et al., 1999
 Cerrone et al., 2021","Deposits in the Gibraltar Strait Area (Mediterranean and Atlantic coasts of Spain) attributed to MIS 5e. The chronological attribution is based on a combination of U-series on mollusks (dating to MIS 5), biostatigraphy and relative stratigraphy across deposits.",,Equal to,MIS 5e,"While the attribution in the original paper is to MIS 5e, we conservatively attribute this stratigraphic context to general MIS 5, due to the lack of clear absolute age constraints.",0.0,0.0,,No,No,,,No,,Alessio Rovere,Alessio Rovere,2021-05-25 12:55:25
135,1,MIS-5 Terrace Correlation,Pedoja et al - 2018,"Correlation based upon physical characteristics including, but not limited to: sediments, pollen, altitude above modern sea level, and position within a terrace sequence. With regards to the latter, terrace age can be further refined to substages within MIS 5; i.e. MIS 5e, 5c, 5a.",,Equal to,MIS 5,MIS 5,132.0,80.0,,No,No,,,No,,Víctor Cartelle,Víctor Cartelle,2022-04-22 10:20:49
75,1,MIS5.5 notch in RHS,"Sisma Ventura et al., 2017
 Sivan et al., 1999
 Sivan et al., 2016
 Sivan and Galili, 2020
 Sivan and Galili, 2020","The RTK measurements indicate that the floor of the RH 4.1 notch is at+0.50 m and the height is 1.79m. Patches of MIS5e marine conglomerate deposits (Sivan et al.,1999, 2016) of the Strombus sub-unit cover the notch floor overlying by  the upper MIS5e bioclastic sandstone subunit. In places, the bioclastic sandstone cover the notch. ",The SB unit is relatively thin (~0.1 to 0.2m) overlying by the biological sandstone that can reach ~0.5m. ,Equal to,MIS 5e,"Dating of the notches phase is based on field relations and local stratigraphical chronology (correlation to RHN and RHS chronostrtigraphy seeL Sivan et al., 2016) RH-4.1 notch was created in the first part of MIS5.5 (the abrasive phase) followed by the deposition phase started with the deposition of the SB unit and later by the biological sandstone that marks the last phase of MIS5.5. ",,,,No,,,,,,Dorit Sivan and Ehud Galili,,2020-09-13 08:14:55
116,1,Maegomori,"Koba et al., 1979
 Tam and Yokoyama, 2021",Dated Coral Layer on Takara Island,,Equal to,MIS 1,,3.0,2.0,,Yes,,,,,,Evan Tam,,2020-10-30 01:48:20
81,1,"Mearot, Carmel coast - Beach deposits","Galili et al., 2007
 Mauz et al., 2012
 Sivan and Galili, 2020","The beach deposites are mainly composed of fine quartz sand, partly broken and crushed marine mollusk shells, and clay matrix with man-made flint artifacts and bone of a large mammal The dominant mollusk species belong to the families Glycymerididae, Cardiidae and Donacidae.",4,Equal to,MIS 5e,"The affiliation to MIS5 is based on the sedimentary characteristics, indicative faunal assemblage and flint man-made artifacts.  One sample from the sequence  (unknown elevation) was OSL dated to 113±5ka (Mauz et al., 2012). The unit is also chronologically constrained by RTL ages of the units below and above (Neber 2002; Frechen et al., 2004) ",,,,Yes,,,,,,Dorit Sivan and Ehud Galili,Dorit Sivan and Ehud Galili,2020-10-05 08:11:58
60,1,Mediterranean AAR Aminozone E,"Cerrone et al., 2021","This constraint is added for papers in the Mediterranean where samples are reported to fall into the AAR Aminozone E, but no details are given on aminoacid ratios.",,Equal to,MIS 5e,,,,,No,No,,,No,,Alessio Rovere,,2020-05-06 10:40:16
48,1,Mediterranean MIS 5e notches,"Antonioli et al., 2018
 Cerrone et al., 2021",Tidal notches attributed to MIS 5e on the basis of nearby deposits associated to the interglacial.,,Equal to,MIS 5,,,,,No,,,,,,Alessio Rovere,,2020-03-26 11:38:51
88,1,Megadim quarry,"Galili et al, 2007
 Galili et al., 2017
 Sivan and Galili, 2020","The unit is located some 100 m east of the coastline, at elevations of +3 to +10 m ASL. It is exposed on the floor of a modern Kurkar quarry and on its eastern wall. The deposit consists of cemented crushed shells. The deposit is stratified between overlying and underlying kurkar deposits. The beach deposit composed of carbonate cemented fine quartz sand, whole, partly broken and crushed marine mollusk shells. The dominant mollusk species belonged to the families Glycymerididae, Cardiidae and Donacidae. ",7,Equal to,MIS 5e,"The affiliation to MIS5 is based on the sedimentary characteristics, stratigraphy and field relations considerations.  ",,,,Yes,,,,,,Dorit Sivan and Ehud Galili,Dorit Sivan and Ehud Galili,2020-10-04 08:10:29
85,1,"Megadim, Carmel coast - beach deposits","Frechen et al, 2004
 Galili et al, 2007
 Neber et al, 2002
 Sivan and Galili, 2020","The beach deposits are composed mainly of fine quartz sand, partly broken and crushed marine mollusk shells and a few flint artifacts.",1,Equal to,MIS 5e,"The affiliation to MIS5 is based on the sedimentary characteristics and indicative faunal assemblage.  The unit is chronologically constrained by RTL ages of the units below and above (Neber 2002; Frechen et al., 2004) ",,,,Yes,,,,,,Dorit Sivan and Ehud Galili,,2020-09-22 06:31:53
108,1,Minami Daito U/Th Ages,"Ota and Omura, 1992
 Ota et al., 1991
 Tam and Yokoyama, 2021",U/Th ages for Minami Daito ,,Equal to,MIS 5,,124.0,121.0,123 +- 1 Ka,No,No,,,,,Evan Tam,Evan Tam,2020-11-24 07:08:17
99,1,Miwa-L,"Suzuki, 1992
 Tam and Yokoyama, 2021",Correlation to Izuna-Nishiyama Pumice Layers,,Equal to,MIS 5,,0.0,0.0,130-0ka,Yes,No,,,,,Evan Tam,,2020-10-08 06:02:11
87,1,"Nahal Bir Ibdawiya, Carmel coast ","Frechen et al, 2004
 Galili et al, 2007
 Neber et al, 2002
 Sivan and Galili, 2020","The unit is located some 200 m east of the coastline, at elevations of +5 to +9 m ASL. on a small hill disturbed by modern quarrying, and on the eastern wall of a modern railway trench, north -south oriented. 
The deposit is adjacent to the eastern slopes of the Carmel coast ridge, south of the channel of Nahal Bir Ibdawiya, a 150m long, 50m wide beach deposit is exposed. The gray colored deposit is composed mainly of fine quartz sand, partly broken and crushed marine mollusk shells. The dominant mollusk species belong to the families Glycymerididae and Donacidae.  Microfauna of shallow sea and foraminifera (mainly Miliolidea), and fragments of coralline, red algae and echinoidea algae were also identified (Neber, 2002; Frechen et al., 2004). Unweathered Middle Paleolithic artifacts made of white flint were identified within this beach deposit.",4,Equal to,MIS 5e,"The affiliation to MIS5 is based on the sedimentary characteristics, indicative faunal assemblage and flint man-made artifacts.  The unit is chronologically constrained by RTL ages of the units below and above (Neber 2002; Frechen et al., 2004) ",,,,Yes,,,,,,Dorit Sivan and Ehud Galili,Dorit Sivan and Ehud Galili,2020-10-04 08:11:03
86,1,"Nahal Ovadia, Carmel coast - beach deposits","Galili et al, 2007
 Sivan and Galili, 2020","Cemented beach deposit is exposed on land, on the bottom and south of the Nahal Ovadia channel and also in a petch of about 30X60 m around 150m offshore.  It composed of fine quartz sand, partly broken and crushed marine mollusk shells including larger remains of dominant mollusk  species belong to the families Glycymerididae and Cardiidae. ",,Equal to,MIS 5e,The affiliation to MIS5 is based on the sedimentary characteristics and indicative faunal assemblage ,,,,Yes,,,,,,Dorit Sivan and Ehud Galili,,2020-09-22 06:37:42
24,1,North Sea 'Zagwijn' Eemian PAZ E1 100 yrs,"Behre, 1962
 Funder et al., 2002
 Jessen & Milthers, 1928
 Litt, 1990
 Mamakowa, 1976
 Menke & Tynni, 1984
 Muller, 1974
 Selle, 1962
 Turner, 2002b
 Zagwijn, 1961
 Zagwijn, 1996","Pollen Association zone E1 cf. Zagwijn 1996.
E1 Betula-Pinus acme zones

This is Zone I cf. Selle, 1962; Muller, 1974
This is the very end of the lateglacial Pollen Zone I cf.  Behre, 1962; Menke & Tynne, 1984.
This is zone 'c' of Jessen & Milthers 1928 (op. cit. Funder et al. 2002)
",0.1-1.0,Equal to,MIS 5e,MIS 5e,129.0,125.5,"Duration of PAZ E1 (Zagwijn 1996: Fig. 2): 100 yrs in NW Germany counted from varved lakes (sites near Luneburg, Muller 1974) in the vicinity of last residual Scandinavian ice masses (continental climate). Apparently similar durations in West-central (Sirocko et al. 2005: Eifel ELSA) and in East-central Germany (Litt, 1990: Groebern, north of Leipzig). Duration of PAZ E1 phase is potentially a bit longer/earlier in Southwestward direction, e.g. Southern North Sea and Eastern English Channel (Atlantic climate) - perhaps 300 years? The absolute age confidence interval (i.e. the time  between Lower and Upper Age) measures a few millennia, this is much larger than the above duration uncertainty.

See the general entry "" North Sea 'Zagwijn' Eemian pollenzones E1-E6 "" for a longer note on absolute age and total duration of the Eemian and its relation with phases within MIS5e and 5d.",Yes,Yes,100,10,Yes,23,Kim Cohen,Kim Cohen,2022-04-21 13:42:30
26,1,North Sea 'Zagwijn' Eemian PAZ E2 425 yrs,"Behre, 1962
 Funder et al., 2002
 Jessen & Milthers, 1928
 Litt, 1990
 Mamakowa, 1976
 Menke & Tynni, 1984
 Muller, 1974
 Selle, 1962
 Turner, 2002b
 Zagwijn, 1961
 Zagwijn, 1996","Pollen Association zone E2 (E2a+E2b) cf. Zagwijn 1996.
E2a Pinus-Ulmus acme zone.
E2b Pinus-Quercus acme zone.

This is Zone IIa and lower half of Zone IIb cf. Selle, 1962; Muller, 1974. 
This is zone II and lower half of Zone III cf Behre, 1962; Menke & Tynni, 1984.
This is zone 'd' and the lower part of zone 'e' of Jessen & Milthers (1928), op. cit. Funder et al. (2002:Table 2)",0.5-1.0,Equal to,MIS 5e,MIS 5e,129.0,125.0,"Duration of PAZ E2 (Zagwijn 1996: Fig. 2): c. 425 yrs in NW Germany counted from varved lakes (sites near Luneburg, Muller 1974) in the vicinity of last residual Scandinavian ice masses (continental climate). Apparently similar durations in West-central (Sirocko et al. 2005: Eifel ELSA) and in East-central Germany (Litt, 1990: Groebern, north of Leipzig). Duration of PAZ E2a phase is potentially a bit longer/earlier in Southwestward direction, e.g. Southern North Sea and Eastern English Channel (atlantic climate) - perhaps 500 years? The absolute age confidence interval (i.e. the time  between Lower and Upper Age) measures a few millennia, this is much larger than the above duration uncertainty.
See the general entry "" North Sea 'Zagwijn' Eemian pollenzones E1-E6 "" for a longer note on absolute age and total duration of the Eemian and its relation with phases within MIS5e and 5d.",Yes,Yes,425,30,Yes,23,Kim Cohen,Kim Cohen,2022-04-16 11:17:11
25,1,North Sea 'Zagwijn' Eemian PAZ E2a 200 yrs,"Behre, 1962
 Funder et al., 2002
 Jessen & Milthers, 1928
 Litt, 1990
 Mamakowa, 1976
 Menke & Tynni, 1984
 Muller, 1974
 Selle, 1962
 Turner, 2002b
 Zagwijn, 1961
 Zagwijn, 1996","Pollen Association zone E2a cf. Zagwijn 1996.
E2a Pinus-Ulmus acme zone

This is Zone IIa cf. Selle, 1962; Muller, 1974. 
This is Zone II cf. Behre, 1962; Menke & Tynni, 1984
This is zone 'd' of Jessen & Milthers (1928), op. cit. Funder et al. (2002:Table 2)",0.2-1.0,Equal to,MIS 5e,MIS 5e,129.0,125.0,"Duration of PAZ E2 (Zagwijn 1996: Fig. 2): 200 yrs in NW Germany counted from varved lakes (sites near Luneburg, Muller 1974) in the vicinity of last residual Scandinavian ice masses (continental climate). Apparently similar durations in West-central (Sirocko et al. 2005: Eifel ELSA) and in East-central Germany (Litt, 1990: Groebern, north of Leipzig). Duration of PAZ E2a phase is potentially a bit longer/earlier in Southwestward direction, e.g. Southern North Sea and Eastern English Channel (atlantic climate) - perhaps 500 years? The absolute age confidence interval (i.e. the time  between Lower and Upper Age) measures a few millennia, this is much larger than the above duration uncertainty.

See the general entry "" North Sea 'Zagwijn' Eemian pollen zones E1-E6 "" for a longer note on absolute age and total duration of the Eemian and its relation with phases within MIS5e and 5d.",Yes,Yes,200,20,Yes,26,Kim Cohen,Kim Cohen,2022-04-16 11:16:40
27,1,North Sea 'Zagwijn' Eemian PAZ E2b 225 yrs,"Behre, 1962
 Funder et al., 2002
 Jessen & Milthers, 1928
 Kristensen et al., 2000
 Litt, 1990
 Mamakowa, 1976
 Menke & Tynni, 1984
 Muller, 1974
 Selle, 1962
 Turner, 2002b
 Zagwijn, 1961
 Zagwijn, 1996","Pollen Association zone E2b cf. Zagwijn, 1961-1996
E2b Pinus-Quercus acme zone.

This is lower half of Zone IIb cf. Selle, 1962; Muller, 1974. 
This is lower half of Zone III cf. Behre, 1962; Menke & Tynni, 1984.
This is the lowermost part of zone 'e' of Jessen & Milthers (1928), op. cit. Funder et al. (2002:Table 2)
This is the uppermost part of zone 'd' of Jessen & Milthers (1928), op. cit. Kristensen et al. (2000:107, ""RKFO2 Betula-Pinus-Alnus"")",0.2-0.5,Equal to,MIS 5e,MIS 5e,128.5,125.0,"Duration of PAZ E2b (Zagwijn 1996: Fig. 2): c. 225 yrs in NW Germany counted from varved lakes (sites near Luneburg, Muller 1974) in the vicinity of last residual Scandinavian ice masses (continental climate). Apparently similar durations in West-central (Sirocko et al. 2005: Eifel ELSA) and in East-central Germany (Litt, 1990: Groebern, north of Leipzig). 



See the general entry "" North Sea 'Zagwijn' Eemian pollen zones E1-E6 "" for a longer note on absolute age and total duration of the Eemian and its relation with phases within MIS5e and 5d.",Yes,Yes,225,25,Yes,26,Kim Cohen,Kim Cohen,2022-04-21 13:43:43
30,1,North Sea 'Zagwijn' Eemian PAZ E3 675 yrs,"Behre, 1962
 Funder et al., 2002
 Jessen & Milthers, 1928
 Konradi et al., 2005
 Litt, 1990
 Mamakowa, 1976
 Menke & Tynni, 1984
 Muller, 1974
 Selle, 1962
 Turner, 2002b
 Zagwijn, 1961
 Zagwijn, 1996","Pollen Association zone E3a-E3b cf. Zagwijn 1961-1996
E3a Quercus acme zone c. 225 yrs
E3b Quercus-Corylus acme zone c. 450 yrs

This is equivalent to Zones IIIa+IIIb cf. Selle (1962) op cit. Konradi et al.  (2005: section 5.2.3)
This is zone IVa of Behre 1962.
This is the upper part of Zone IIb + Zone IIIa cf. Muller 1974. 
This is the upper half of Zone III + the lower one-third of Zone IVa cf Menke & Tynni 1984.
This is the upper part of zone 'e' and lower part of zone 'fa' of Jessen & Milthers (1928), op. cit. Funder et al. (2002:Table 2)",0.2-0.5,Equal to,MIS 5e,MIS 5e,128.5,124.5,"Duration of PAZ E3 (E3a +E3b (Zagwijn 1996: Fig. 2): 225+450 yrs in NW Germany counted from varved lakes (sites near Luneburg, Muller 1974). Apparently similar durations in West-central (Sirocko et al. 2005: Eifel ELSA) and in East-central Germany (Litt, 1990: Groebern, north of Leipzig). West-East (Atlantic-Continental) climatic zonations over NW Europe become similar to that of the Early Holocene during this phase (Zagwijn 1996).

See the general entry "" North Sea 'Zagwijn' Eemian pollen zones E1-E6 "" for a longer note on absolute age and total duration of the Eemian and its relation with phases within MIS5e and 5d.",Yes,Yes,675,45,Yes,23,Kim Cohen,Kim Cohen,2022-04-21 13:45:15
