WALIS ESR ID,Is this datapoint public?,Method,IGSN,Reference(s),Sample ID,Analysis ID,Reported ID,Laboratory name,Date of analysis,Accepted?,Reason for rejection,Reported Latitude,Reported Longitude,Latitude (decimal degrees),Longitude (decimal degrees),Are Lat/Long estimated?,Original elevation datum used,Elevation measurement method,Reported elevation (m),Reported elevation uncertainty (m),Elevation above MSL (m),Elevation uncertainty used (m),Elevation comments,Age is Older/Younger/Equal to,Marine Isotopic Stage,Comments/details on MIS designation or age,Age (ka),Age uncertainty (ka),Mineral type,Grain size (µm),Aliquot size (mg),Measurement protocol,ESR spectrometre type,Measurement temperature (K),Acquisition parameters,ESR signal,Number of scans,Number of repeated measurements,Number of rotations in the cavity,Evaluation of the ESR signal intensity,Correction of the ESR intensities,Bleaching coefficient (%),Fitting program and error calculation,Fitting function,Data weighting used for fitting,Equivalent dose estimate (Gy),Equivalent dose estimate undertainty (±1σ) (Gy),Depth (m),Technique,Dose rate uncertainty type,external U (ppm),external U error (ppm),external Th (ppm),external Th error (ppm),external K (%),external K error (%),external Rb (ppm),external Rb error (ppm),External dose rate (Gy/ka),External dose rate uncertainty (Gy/ka),internal U (ppm),internal U error (ppm),internal Th (ppm),internal Th error (ppm),internal K (%),internal K error (%),internal Rb (ppm),internal Rb error (ppm),Internal dose rate (Gy/ka),Internal dose rate uncertainty (Gy/ka),Alpha dose rate (Gy/ka),Alpha dose rate error (Gy/ka),Gamma dose rate (Gy/ka),Gamma dose rate error (Gy/ka),Beta dose rate (Gy/ka),Beta dose rate error (Gy/ka),Cosmic dose rate (Gy/ka),Cosmic dose rate error (Gy/ka),Field water content (% of dry mass),Water content determination method,Water content used (%),Water content used error (%),Attenuation factors,Conversion factors,Alpha efficiency factor,Etching method,Etch depth (µm),Etch depth error (µm),Total dose rate (Gy/ka),Total dose rate uncertainty (Gy/ka),Comments and notes,Record created by,Record updated by,Last Update
227,1,Molluscs,,"Molodkov and Raukas, 1988",MO88-002,MO88-002-001,25-12-4,Institute of Geology of the Academy of Sciences of the Estonian SSR,,Yes,,,,65.580000,44.630000,Yes,Mean Sea Level / General definition,Not reported,N/A,N/A,6.5,4.7,"The elevation was not reported, so we use the elevation range of the interglacial marine sediments reported in subsequent studies..",Equal to,MIS 5,"Based on pollen, dinocyst, and mollusc fossils, this unit likely corresponds to MIS 5e.",92.00,7.00,,50-300,,,ESR X-band spectrometer,,150 mW microwave power. The detector phase was changed by 110 degrees to avoid overlapping manganese and organic radical signals,g=2.0012,,,,,,,,,,117.00000000,,4.45,gamma spectrometry,N/A,,,,,,,,,1.17400000,,0.50000000,,,,,,,,0.09800000,,,,,,,,,,,,,,,,,,,,,,Species: Malcoma calcarea,Evan Gowan,Evan Gowan,2021-09-16 06:21:55
228,1,Molluscs,,"Molodkov and Raukas, 1988",MO88-003,MO88-003-001,26-12-4,Institute of Geology of the Academy of Sciences of the Estonian SSR,,Yes,,,,65.580000,44.630000,Yes,Mean Sea Level / General definition,Not reported,N/A,N/A,6.5,4.7,"The elevation was not reported, so we use the elevation range of the interglacial marine sediments reported in subsequent studies..",Equal to,MIS 5,"Based on pollen, dinocyst, and mollusc fossils, this unit likely corresponds to MIS 5e.",82.00,6.00,,50-300,,,ESR X-band spectrometer,,150 mW microwave power. The detector phase was changed by 110 degrees to avoid overlapping manganese and organic radical signals,g=2.0012,,,,,,,,,,84.00000000,,4.45,gamma spectrometry,N/A,,,,,,,,,0.92000000,,0.60000000,,,,,,,,0.10400000,,,,,,,,,,,,,,,,,,,,,,Species: Cyprina islandica,Evan Gowan,Evan Gowan,2021-09-16 06:24:41
229,1,Molluscs,,"Molodkov and Raukas, 1988",MO88-004,MO88-004-001,27-12-4,Institute of Geology of the Academy of Sciences of the Estonian SSR,,Yes,,,,65.580000,44.630000,Yes,Mean Sea Level / General definition,Not reported,N/A,N/A,6.5,4.7,"The elevation was not reported, so we use the elevation range of the interglacial marine sediments reported in subsequent studies..",Equal to,MIS 5,"Based on pollen, dinocyst, and mollusc fossils, this unit likely corresponds to MIS 5e.",95.00,15.00,,50-300,,,ESR X-band spectrometer,,150 mW microwave power. The detector phase was changed by 110 degrees to avoid overlapping manganese and organic radical signals,g=2.0012,,,,,,,,,,110.00000000,,5.2,gamma spectrometry,N/A,,,,,,,,,1.13000000,,0.20000000,,,,,,,,0.02800000,,,,,,,,,,,,,,,,,,,,,,Species: Pecten islandicus,Evan Gowan,Evan Gowan,2021-09-16 06:26:42
230,1,Molluscs,,"Molodkov and Raukas, 1988",MO88-005,MO88-005-001,28-12-4,Institute of Geology of the Academy of Sciences of the Estonian SSR,,Yes,,,,65.580000,44.630000,Yes,Mean Sea Level / General definition,Not reported,N/A,N/A,6.5,4.7,"The elevation was not reported, so we use the elevation range of the interglacial marine sediments reported in subsequent studies..",Equal to,MIS 5,"Based on pollen, dinocyst, and mollusc fossils, this unit likely corresponds to MIS 5e.",92.00,9.00,,50-300,,,ESR X-band spectrometer,,150 mW microwave power. The detector phase was changed by 110 degrees to avoid overlapping manganese and organic radical signals,g=2.0012,,,,,,,,,,110.00000000,,5.2,gamma spectrometry,N/A,,,,,,,,,1.11100000,,0.50000000,,,,,,,,0.08500000,,,,,,,,,,,,,,,,,,,,,,Species: Macoma calcarea,Evan Gowan,Evan Gowan,2021-09-16 06:28:38
231,1,Molluscs,,"Molodkov and Raukas, 1988",MO88-006,MO88-006-001,29-12-4,Institute of Geology of the Academy of Sciences of the Estonian SSR,,Yes,,,,65.580000,44.630000,Yes,Mean Sea Level / General definition,Not reported,N/A,N/A,6.5,4.7,"The elevation was not reported, so we use the elevation range of the interglacial marine sediments reported in subsequent studies..",Equal to,MIS 5,"Based on pollen, dinocyst, and mollusc fossils, this unit likely corresponds to MIS 5e.",90.00,8.00,,50-300,,,ESR X-band spectrometer,,150 mW microwave power. The detector phase was changed by 110 degrees to avoid overlapping manganese and organic radical signals,g=2.0012,,,,,,,,,,86.60000000,,5.2,gamma spectrometry,N/A,,,,,,,,,0.71700000,,0.90000000,,,,,,,,0.24500000,,,,,,,,,,,,,,,,,,,,,,Species: Cyprina islandica,Evan Gowan,Evan Gowan,2021-09-16 06:30:33
232,1,Molluscs,,"Molodkov and Raukas, 1988",MO88-007,MO88-007-001,30-12-4,Institute of Geology of the Academy of Sciences of the Estonian SSR,,Yes,,,,65.580000,44.630000,Yes,Mean Sea Level / General definition,Not reported,N/A,N/A,6.5,4.7,"The elevation was not reported, so we use the elevation range of the interglacial marine sediments reported in subsequent studies..",Equal to,MIS 5,"Based on pollen, dinocyst, and mollusc fossils, this unit likely corresponds to MIS 5e.",90.00,8.00,,50-300,,,ESR X-band spectrometer,,150 mW microwave power. The detector phase was changed by 110 degrees to avoid overlapping manganese and organic radical signals,g=2.0012,,,,,,,,,,93.80000000,,5.2,gamma spectrometry,N/A,,,,,,,,,0.91400000,,0.50000000,,,,,,,,0.12800000,,,,,,,,,,,,,,,,,,,,,,Species: Neptunea despecta,Evan Gowan,Evan Gowan,2021-09-16 06:32:16
233,1,Molluscs,,"Molodkov and Raukas, 1988",MO88-008,MO88-008-001,31-12-4,Institute of Geology of the Academy of Sciences of the Estonian SSR,,Yes,,,,65.580000,44.630000,Yes,Mean Sea Level / General definition,Not reported,N/A,N/A,6.5,4.7,"The elevation was not reported, so we use the elevation range of the interglacial marine sediments reported in subsequent studies..",Equal to,MIS 5,"Based on pollen, dinocyst, and mollusc fossils, this unit likely corresponds to MIS 5e.",120.00,8.00,,50-300,,,ESR X-band spectrometer,,150 mW microwave power. The detector phase was changed by 110 degrees to avoid overlapping manganese and organic radical signals,g=2.0012,,,,,,,,,,119.50000000,,6,gamma spectrometry,N/A,,,,,,,,,0.88500000,,0.50000000,,,,,,,,0.11100000,,,,,,,,,,,,,,,,,,,,,,Species: Astarte crenata,Evan Gowan,Evan Gowan,2021-09-16 06:40:55
234,1,Molluscs,,"Molodkov and Raukas, 1988",MO88-009,MO88-009-001,32-12-4a,Institute of Geology of the Academy of Sciences of the Estonian SSR,,Yes,,,,65.580000,44.630000,Yes,Mean Sea Level / General definition,Not reported,N/A,N/A,6.5,4.7,"The elevation was not reported, so we use the elevation range of the interglacial marine sediments reported in subsequent studies..",Equal to,MIS 5,"Based on pollen, dinocyst, and mollusc fossils, this unit likely corresponds to MIS 5e.",109.00,7.00,,50-300,,,ESR X-band spectrometer,,150 mW microwave power. The detector phase was changed by 110 degrees to avoid overlapping manganese and organic radical signals,g=2.0012,,,,,,,,,,103.40000000,,6,gamma spectrometry,N/A,,,,,,,,,0.83500000,,0.50000000,,,,,,,,0.11400000,,,,,,,,,,,,,,,,,,,,,,Species: Cyprina islandica,Evan Gowan,Evan Gowan,2021-09-16 06:42:32
235,1,Molluscs,,"Molodkov and Raukas, 1988",MO88-010,MO88-010-001,32-12-4b,Institute of Geology of the Academy of Sciences of the Estonian SSR,,Yes,,,,65.580000,44.630000,Yes,Mean Sea Level / General definition,Not reported,N/A,N/A,6.5,4.7,"The elevation was not reported, so we use the elevation range of the interglacial marine sediments reported in subsequent studies..",Equal to,MIS 5,"Based on pollen, dinocyst, and mollusc fossils, this unit likely corresponds to MIS 5e.",105.00,7.00,,50-300,,,ESR X-band spectrometer,,150 mW microwave power. The detector phase was changed by 110 degrees to avoid overlapping manganese and organic radical signals,g=2.0012,,,,,,,,,,98.80000000,,6,gamma spectrometry,N/A,,,,,,,,,0.83500000,,0.50000000,,,,,,,,0.10600000,,,,,,,,,,,,,,,,,,,,,,Species: Cyprina islandica,Evan Gowan,Evan Gowan,2021-09-16 06:44:15
137,1,Molluscs,,"Mirecki et al., 1995
 Thompson and Creveling, 2021",MR95-001,MR95-001-001,87GP-341,,,Yes,,,,36.7827179,-76.1964024,Yes,N/A,"dGPS, hand level and tape",N/A,N/A,N/A,N/A,,Equal to ,MIS 5,,93,,Aragonite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jessica Creveling and Schmitty Thompson,,2020-11-19 11:14:00
138,1,Molluscs,,"Mirecki et al., 1995
 Thompson and Creveling, 2021",MR95-002,MR95-002-001,87GP-342,,,Yes,,,,36.7827179,-76.1964024,Yes,N/A,"dGPS, hand level and tape",N/A,N/A,N/A,N/A,,Equal to ,MIS 5,,125,,Aragonite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jessica Creveling and Schmitty Thompson,,2020-11-19 11:14:00
139,1,Molluscs,,"Mirecki et al., 1995
 Thompson and Creveling, 2021",MR95-003,MR95-003-001,87GP-343,,,Yes,,,,36.7827179,-76.1964024,Yes,N/A,"dGPS, hand level and tape",N/A,N/A,N/A,N/A,,Equal to ,MIS 5,,101,,Aragonite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jessica Creveling and Schmitty Thompson,,2020-11-19 11:14:00
140,1,Molluscs,,"Mirecki et al., 1995
 Thompson and Creveling, 2021",MR95-004,MR95-004-001,87GP-344,,,Yes,,,,36.7827179,-76.1964024,Yes,N/A,"dGPS, hand level and tape",N/A,N/A,N/A,N/A,,Equal to ,MIS 5,,97,,Aragonite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jessica Creveling and Schmitty Thompson,,2020-11-19 11:14:00
141,1,Molluscs,,"Mirecki et al., 1995
 Thompson and Creveling, 2021",MR95-005,MR95-005-001,87GP-349,,,Yes,,,,36.7827179,-76.1964024,Yes,N/A,"dGPS, hand level and tape",N/A,N/A,N/A,N/A,,Equal to ,MIS 5,,86,,Aragonite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jessica Creveling and Schmitty Thompson,,2020-11-19 11:14:00
90,1,Molluscs,,"Orrù et al., 2009
 Cerrone et al., 2021",OR09-001,OR-001-001,K-5741,,,Yes,,,,39.221700,9.166300,No,Mean Sea Level / General definition,Differential GPS,3,0.5,3,N/A,,Equal to,N/A,,103.00,8.56,Shell,4.15,,,,,,,,,,,,,,,,220.58000000,14.38000000,,,N/A,18.90000000,,18.90000000,,2.47000000,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,213.00000000,,,Matteo Vacchi,Matteo Vacchi,2020-03-09 06:55:14
91,1,Molluscs,,"Orrù et al., 2009
 Cerrone et al., 2021",OR09-001,OR-001-002,K-5742,,,Yes,,,,39.221700,9.166300,No,Mean Sea Level / General definition,Differential GPS,3,0.5,3,N/A,,Equal to,N/A,,154.34,9.20,Shell,1.7,,,,,,,,,,,,,,,,347.77000000,12.03000000,,,N/A,3.80000000,,18.90000000,,2.47000000,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,231.00000000,,,Matteo Vacchi,Matteo Vacchi,2020-03-09 06:54:43
92,1,Molluscs,,"Orrù et al., 2009
 Cerrone et al., 2021",OR09-001,OR-001-003,K-5744,,,Yes,,,,39.221700,9.166300,No,Mean Sea Level / General definition,Differential GPS,3,0.5,3,N/A,,Equal to,N/A,,81.19,8.10,Shell,1.12,,,,,,,,,,,,,,,,211.54000000,18.47000000,,,N/A,3.80000000,,18.90000000,,2.47000000,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,260.00000000,,,Matteo Vacchi,Matteo Vacchi,2020-03-09 06:54:21
93,1,Molluscs,,"Orrù et al., 2009
 Cerrone et al., 2021",OR09-001,OR-001-004,K-5745,,,Yes,,,,39.221700,9.166300,No,Mean Sea Level / General definition,Differential GPS,3,0.5,3,N/A,,Equal to,N/A,,112.63,7.50,Shell,2.3,,,,,,,,,,,,,,,,245.00000000,10.71000000,,,N/A,3.80000000,,18.90000000,,2.47000000,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,218.00000000,,,Matteo Vacchi,Matteo Vacchi,2020-03-09 06:53:49
103,1,Corals,,"Pirazzoli et al., 1988
 Hallmann et al., 2021",PI88-001,PI88-001-001,3AN14,,,Yes,,17°20.5',145°30',-17.334722,-145.500000,No,Mean Sea Level / General definition,Total station or Auto/hand level,3.85,0.2,4.15,0.2,,Equal to,MIS 5,age uncertainty +8 or -4,109.00,,aragonite,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"coral (Leptoria?) bound stone, in growth position, 97% aragonite",Nadine Hallmann,,2020-05-04 03:51:22
151,1,Corals,,"Pirazzoli et al., 1991b
 Pirazzoli et al., 1993
 Maxwell et al., 2021",PI91-004,PI91-004-002,I2 LND.3 / SMB.LND.I.2.3,,,Yes,,,,-9.525348,120.221065,Yes,Mean Sea Level / General definition,Barometric altimeter,19,1,N/A,N/A,"Porites sp sample from Reef complex I2 (+19±1m). Elevations are related to MSL, corrected for air pressure variations, and correspond to measurements of the upper surface of former reef crests along the reference transect.",Equal to,MIS 5e,"Uncertainty ranges of ESR dates have been estimated at 15%. Sample preparation, ESR measurement and age calculation were carried out following Grün (1989).",119.00,18.00,,,15 aliquots (200mg) of the sample,"The accumulated dose AD was determined by the so-called ""additive dose method"": 15 aliquots (200mg) of the sample are irradiated stepwise with increasing γ-doses.",,,,,,,,,,,The exponential fitting was carried out following the computer-programme REGRESS by R. Grün.,,,90.40000000,4.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This reported ESR age has a corresponding U-Th age. ,Kathrine Maxwell,Kathrine Maxwell,2021-02-23 15:29:54
152,1,Corals,,"Pirazzoli et al., 1991b
 Pirazzoli et al., 1993
 Maxwell et al., 2021",PI91-005,PI91-005-001,I2 MDL.8 / SMB.MDL.I.2.8,,,Yes,,,,-9.525348,120.221065,Yes,Mean Sea Level / General definition,Barometric altimeter,19,1,N/A,N/A,"Favites flexuosa sample from Reef complex I2 (+19±1m). Elevations are related to MSL, corrected for air pressure variations, and correspond to measurements of the upper surface of former reef crests along the reference transect.",Equal to,MIS 5e,"Uncertainty ranges of ESR dates have been estimated at 15%. Sample preparation, ESR measurement and age calculation were carried out following Grün (1989).",142.00,21.00,,,15 aliquots (200mg) of the sample,"The accumulated dose AD was determined by the so-called ""additive dose method"": 15 aliquots (200mg) of the sample are irradiated stepwise with increasing γ-doses.",,,,,,,,,,,The exponential fitting was carried out following the computer-programme REGRESS by R. Grün.,,,117.30000000,5.90000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This reported ESR has no corresponding U-Th age. ,Kathrine Maxwell,Kathrine Maxwell,2021-02-23 15:30:04
153,1,Corals,,"Pirazzoli et al., 1991b
 Pirazzoli et al., 1993
 Maxwell et al., 2021",PI91-007,PI91-007-001,I2 MDL.3 / SMB.MDL.I.2.3,,,Yes,,,,-9.525348,120.221065,Yes,Mean Sea Level / General definition,Barometric altimeter,19,1,N/A,N/A,"Diploastrea heliopora sample from Reef complex I2 (+19±1m). Elevations are related to MSL, corrected for air pressure variations, and correspond to measurements of the upper surface of former reef crests along the reference transect.",Equal to,MIS 5e,"Uncertainty ranges of ESR dates have been estimated at 15%. Sample preparation, ESR measurement and age calculation were carried out following Grün (1989).",124.00,19.00,,,15 aliquots (200mg) of the sample,"The accumulated dose AD was determined by the so-called ""additive dose method"": 15 aliquots (200mg) of the sample are irradiated stepwise with increasing γ-doses.",,,,,,,,,,,The exponential fitting was carried out following the computer-programme REGRESS by R. Grün.,,,98.90000000,4.40000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This reported ESR has no corresponding U-Th age. ,Kathrine Maxwell,Kathrine Maxwell,2021-02-23 15:30:12
154,1,Corals,,"Pirazzoli et al., 1991b
 Pirazzoli et al., 1993
 Maxwell et al., 2021",PI91-008,PI91-008-002,I2 MDL.4 / SMB.MDL.I.2.4,,,Yes,,,,-9.525348,120.221065,Yes,Mean Sea Level / General definition,Barometric altimeter,19,1,N/A,N/A,"Pseudosiderastrea tayami sample from Reef complex I2 (+19±1m). Elevations are related to MSL, corrected for air pressure variations, and correspond to measurements of the upper surface of former reef crests along the reference transect.",Equal to,MIS 5c,"Uncertainty ranges of ESR dates have been estimated at 15%. Sample preparation, ESR measurement and age calculation were carried out following Grün (1989).",93.00,14.00,,,15 aliquots (200mg) of the sample,"The accumulated dose AD was determined by the so-called ""additive dose method"": 15 aliquots (200mg) of the sample are irradiated stepwise with increasing γ-doses.",,,,,,,,,,,The exponential fitting was carried out following the computer-programme REGRESS by R. Grün.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This reported ESR has a corresponding U-Th age. ,Kathrine Maxwell,Kathrine Maxwell,2021-02-23 15:30:17
156,1,Corals,,"Pirazzoli et al., 1991b
 Pirazzoli et al., 1993
 Maxwell et al., 2021",PI91-010,PI91-010-002,II2 MDL.10 / SMB.MDL.II.2.10,,,Yes,,,,-9.525348,120.221065,Yes,Mean Sea Level / General definition,Barometric altimeter,50,5,N/A,N/A,"Porites sp sample from Reef complex II2 (+50±5m). Elevations are related to MSL, corrected for air pressure variations, and correspond to measurements of the upper surface of former reef crests along the reference transect.",Equal to,MIS 5e,"Uncertainty ranges of ESR dates have been estimated at 15%. Sample preparation, ESR measurement and age calculation were carried out following Grün (1989).",117.00,18.00,,,15 aliquots (200mg) of the sample,"The accumulated dose AD was determined by the so-called ""additive dose method"": 15 aliquots (200mg) of the sample are irradiated stepwise with increasing γ-doses.",,,,,,,,,,,The exponential fitting was carried out following the computer-programme REGRESS by R. Grün.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This reported ESR has a corresponding U-Th age. ,Kathrine Maxwell,Kathrine Maxwell,2021-02-23 15:30:24
132,1,Molluscs,,"Radke, 1986
 Cerrone et al., 2021",RA86-001,RA86-001-001,N/A,,,Yes,,,,38.578052,14.577761,Yes,Mean Sea Level / General definition,Not reported,5,2,N/A,N/A,,Equal to,MIS 5e,Age 78-141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ciro Cerrone,Ciro Cerrone,2020-08-21 13:10:49
187,1,Molluscs,,"Cerrone et al., 2021
 Radtke,  1986
 Radtke, 1983",RA86-002,RA86-002-001,RTAR(1)-OUT,,,Yes,,,,42.307300,11.647800,Yes,N/A,Not reported,25,N/A,N/A,N/A,,Equal to,N/A,,112.00,22.40,,,,,,,,,,,,,,,,,,392.00000000,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37000000,,Annual dose (D0) is given in mGY/kyr,Alessio Rovere,Alessio Rovere,2021-06-23 11:07:32
186,1,Molluscs,,"Cerrone et al., 2021
 Radtke,  1986
 Radtke, 1983",RA86-003,RA86-003-001,RTAR(1)-IN,,,Yes,,,,42.307300,11.647800,Yes,N/A,Not reported,25,N/A,N/A,N/A,,Equal to,N/A,,102.00,20.40,,,,,,,,,,,,,,,,,,2.42000000,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.00000000,,Annual dose (D0) is given in mGY/kyr,Alessio Rovere,Alessio Rovere,2021-06-23 11:08:25
188,1,Molluscs,,"Cerrone et al., 2021
 Radtke,  1986
 Radtke, 1983",RA86-004,RA86-004-001,Km17-1(k),,,Yes,,,,42.186130,11.743530,Yes,N/A,Not reported,25,N/A,N/A,N/A,,Equal to,N/A,"It seems like in Radtke, 1983, this age is reported as 94 ka. Maybe this is a re-analysis done in 1986?",79.00,15.80,,,,,,,,,,,,,,,,,,251.00000000,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18000000,,Annual dose (D0) is given in mGY/kyr,Alessio Rovere,Alessio Rovere,2021-06-23 11:44:07
189,1,Molluscs,,"Cerrone et al., 2021
 Radtke,  1986
 Radtke, 1983",RA86-005,RA86-005-001,CSV-P-1,,,Yes,,,,42.204930,11.794070,Yes,N/A,Not reported,N/A,N/A,N/A,N/A,,Equal to,N/A,,111.00,22.20,,,,,,,,,,,,,,,,,,330.00000000,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97000000,,Annual dose (D0) is given in mGY/kyr,Alessio Rovere,Alessio Rovere,2021-06-23 12:52:12
190,1,Molluscs,,"Cerrone et al., 2021
 Radtke,  1986
 Radtke, 1983",RA86-006,RA86-006-001,CSV-P-2,,,Yes,,,,42.204930,11.794070,Yes,N/A,Not reported,N/A,N/A,N/A,N/A,,Equal to,N/A,,92.00,18.40,,,,,,,,,,,,,,,,,,355.00000000,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86000000,,Annual dose (D0) is given in mGY/kyr,Alessio Rovere,Alessio Rovere,2021-06-23 12:53:23
11,1,Molluscs,,"Radtke, 1989
 Schellmann and Radtke, 1997
 Gowan et al., 2021",RA89-001,RA89-001-001,D-1133-a,University of Dusseldorf,1988-01-01 00:00:00,Yes,,,,-49.312000,-67.718000,Yes,Mean Sea Level / General definition,Barometric altimeter,8,N/A,8,1.6,Elevation taken from diagram in the paper. Uncertainty taken as 20% of the measured elevation.,Equal to,MIS 5,"The uncertainty is taken to be 15% of the reported age, which is what Radtke recommended. The entered age is based on an early uptake model, which is regarded as producing a more realistic age (see Schellmann and Radtke, 1997)",135.00,20.00,,100-400,,,Bruker 200 tt ESR spectrometer,,,2.0006,,,,additive dose method,,,DATA-IV,plateau-screening,,181.2,,1,"U content in shell derived from fission track and X-ray fluorescence methods
U/Th content in matrix determined using gamma spectrometry
K content in matrix determined using atomic absorption spectroscopy and X-ray fluorescence",N/A,1.00,,6.00,,0.95,,,,,,0.90,,,,,,,,,,0.2085,,0.7712,,0.3658,,,,,,,,,,,,,,,,"- species: unknown
- shell thickness (before/after preparation, mm): 1.2/1.0
- articulated: not stated
- grinding/light effects: not observed",Evan Gowan,Evan Gowan,2020-02-04 08:13:35
12,1,Molluscs,,"Radtke, 1989
 Schellmann and Radtke, 1997
 Gowan et al., 2021",RA89-002,RA89-002-001,D-1133-b,University of Dusseldorf,1988-01-01 00:00:00,Yes,,,,-49.312000,-67.718000,Yes,Mean Sea Level / General definition,Barometric altimeter,8,N/A,8,1.6,Elevation taken from diagram in the paper. Uncertainty taken as 20% of the measured elevation.,Equal to,MIS 5,"The uncertainty is taken to be 15% of the reported age, which is what Radtke recommended. The entered age is based on an early uptake model, which is regarded as producing a more realistic age (see Schellmann and Radtke, 1997)",155,23,,100-400,,,Bruker 200 tt ESR spectrometer,,,2.0006,,,,additive dose method,,,DATA-IV,plateau-screening,,188.1,,1,"U content in shell derived from fission track and X-ray fluorescence methods
U/Th content in matrix determined using gamma spectrometry
K content in matrix determined using atomic absorption spectroscopy and X-ray fluorescence",N/A,1.00,,6.00,,0.95,,,,,,0.83,,,,,,,,,,0.2141,,0.8012,,0.2001,,,,,,,,,,,,,,,,"- species: Protothaca sp.
- shell thickness (before/after preparation, mm): 2.3/2.1
- articulated: not stated
- grinding/light effects: not observed",Evan Gowan,Evan Gowan,2020-02-04 08:21:00
13,1,Molluscs,,"Radtke, 1989
 Schellmann and Radtke, 1997
 Gowan et al., 2021",RA89-003,RA89-003-001,D-1133-c,University of Dusseldorf,1988-01-01 00:00:00,Yes,,,,-49.312000,-67.718000,Yes,Mean Sea Level / General definition,Barometric altimeter,8,N/A,8,1.6,Elevation taken from diagram in the paper. Uncertainty taken as 20% of the measured elevation.,Equal to,MIS 5,"The uncertainty is taken to be 15% of the reported age, which is what Radtke recommended. The entered age is based on an early uptake model, which is regarded as producing a more realistic age (see Schellmann and Radtke, 1997)",118,18,,100-400,,,Bruker 200 tt ESR spectrometer,,,2.0006,,,,additive dose method,,,DATA-IV,plateau-screening,,178.4,,1,"U content in shell derived from fission track and X-ray fluorescence methods
U/Th content in matrix determined using gamma spectrometry
K content in matrix determined using atomic absorption spectroscopy and X-ray fluorescence",N/A,1.00,,6.00,,0.95,,,,,,2.52,,,,,,,,,,0.6134,,0.8012,,0.0968,,,,,,,,,,,,,,,,"- species: unknown
- shell thickness (before/after preparation, mm): 3.0/2.0
- articulated: not stated
- grinding/light effects: not observed",Evan Gowan,Evan Gowan,2020-02-04 08:23:49
